id,username,slug,image,profile_url,num_of_followers,num_of_following,bio,num_of_posted_tweets,created_at,user,total_tweets,total_likes,total_retweets,total_replies,total_quotes,avg_likes,avg_retweets,avg_replies,avg_quotes,original_tweets,replied_to_tweets,quoted_tweets,retweeted_tweets
U1,leehannah,your-see-could,https://picsum.photos/444/732,https://oconnor-smith.com/,726304,3136,"Sport control growth after.
Dog country cell leave kind travel political north. Over run experience student available parent final. Sea learn two.",3094,2021-02-18 04:16:07.051562,1,1,3473,1099,570,454,3473.0,1099.0,570.0,454.0,0,0,1,0
U2,sandersmax,move-my-history,https://placekitten.com/704/467,http://pena.com/,19191,230,"Top also guy capital keep. Treatment stock third cut type charge in. Billion training professional health trip sometimes.
Same imagine certain door. Million here accept now allow imagine these.",1317,2020-06-27 10:14:10.111657,2,2,8523,3457,2844,233,4261.5,1728.5,1422.0,116.5,0,0,1,1
U3,moralesmatthew,personal-same-stand,https://picsum.photos/834/947,https://lewis.com/,847685,3967,Often beautiful per step. Challenge woman by various develop.,188,2023-05-20 06:23:00.324074,3,5,22105,9598,5455,1910,4421.0,1919.6,1091.0,382.0,1,2,0,2
U4,valeriesmith,power-at-friend,https://placekitten.com/110/142,https://mclean-sims.com/,985391,1282,Worry fire enjoy what matter involve consumer. To local if something. Feeling stage main west employee expert great need.,2994,2023-03-31 06:11:33.486922,4,9,33615,21958,9328,2939,3735.0,2439.777777777778,1036.4444444444443,326.55555555555554,2,4,2,1
U5,murillokayla,character-at,https://placekitten.com/586/857,http://oneal.biz/,638911,3170,"Child order their sit building. Movement always military once when practice bar. Board beyond school receive.
Trip involve send probably other gun under charge. Like cup car hit simply watch section.",6438,2022-06-28 20:47:52.780452,5,16,73820,37216,20392,7124,4613.75,2326.0,1274.5,445.25,6,2,5,3
U6,xjames,model-feel-wide-two,https://placekitten.com/683/161,https://frank.com/,204860,4459,Another economic mind wish effect sell discover. Case short amount food.,9474,2022-04-19 16:50:52.949013,6,6,30219,16617,6568,2522,5036.5,2769.5,1094.6666666666667,420.3333333333333,4,0,2,0
U7,melody50,our-environmental,https://dummyimage.com/54x283,http://miller.com/,177996,575,"Simple source base site today. Girl option money really ok. How growth assume follow everything.
Next summer look choice talk officer red door. Industry room Congress beautiful letter too job.",1908,2022-07-29 20:15:25.111748,7,3,18604,7773,1849,1953,6201.333333333333,2591.0,616.3333333333334,651.0,0,1,1,1
U8,obartlett,poor-energy-allow,https://dummyimage.com/991x911,https://www.dennis.com/,323175,4438,Name my organization join organization push. Center government quality religious you bad.,3362,2021-10-02 18:37:05.719647,8,6,16709,7723,5648,2128,2784.8333333333335,1287.1666666666667,941.3333333333334,354.6666666666667,2,1,3,0
U9,whurley,those-gas-nice-too,https://dummyimage.com/469x89,https://johnston.com/,966702,3810,Police security hold play continue spring trip. South form beyond for itself hospital.,8530,2023-08-23 15:59:41.004956,9,18,82055,49709,19998,9614,4558.611111111111,2761.6111111111113,1111.0,534.1111111111111,5,5,4,4
U10,jacksonlisa,significant,https://placekitten.com/667/102,https://lopez-williams.com/,627391,1977,War bad wife close. Reveal few south unit.,5951,2023-01-21 23:15:58.903316,10,10,47737,32344,8403,5886,4773.7,3234.4,840.3,588.6,2,1,1,6
U11,mmurray,shoulder-partner,https://placekitten.com/978/475,http://gardner.com/,858248,3105,Outside personal anyone themselves arrive themselves happy. Question interest religious either remember. Why blood certainly chance story foreign keep.,8917,2020-10-12 19:11:12.114139,11,18,100046,49907,17420,7847,5558.111111111111,2772.6111111111113,967.7777777777778,435.94444444444446,5,7,2,4
U12,emily56,record-walk-second,https://dummyimage.com/557x545,http://www.medina.com/,941652,4226,"Food plant reveal film audience town half. Fill bad picture benefit concern work. Skin treatment must.
Chair today store. Scene specific series rise hundred direction upon.",5635,2019-10-07 04:49:45.885498,12,15,61025,41734,15994,9361,4068.3333333333335,2782.266666666667,1066.2666666666667,624.0666666666667,4,3,4,4
U13,jonathanhancock,nothing-woman,https://dummyimage.com/821x932,https://henry.biz/,530910,4895,Brother big attention. Pull ahead institution population one development sell firm. Heavy fly author wife budget cup.,9635,2021-04-01 15:19:47.973739,13,6,41124,19062,5156,2373,6854.0,3177.0,859.3333333333334,395.5,1,2,1,2
U14,benjaminhenderson,bit-manage-while,https://picsum.photos/288/34,http://thomas-hill.net/,732837,4049,"Affect never job field know unit. Condition back site kid full.
Class wish parent start same perhaps sell same.
Interesting local tax write cell.",2233,2020-08-06 23:12:37.174109,14,7,35696,24268,5435,3557,5099.428571428572,3466.8571428571427,776.4285714285714,508.14285714285717,2,1,3,1
U15,kristinhughes,use-give-material,https://picsum.photos/658/870,https://espinoza.com/,426489,3747,"Computer least stage treat sister.
This lay night. Laugh chair effort small. Film base action player north individual a.",8674,2021-07-16 05:03:26.069321,15,6,17416,10771,6646,1906,2902.6666666666665,1795.1666666666667,1107.6666666666667,317.6666666666667,1,4,0,1
U16,jeffrey30,plan-who-girl,https://dummyimage.com/501x597,http://sherman.com/,544007,4723,"Class box election power piece very. Chair market physical.
Our require with.",8754,2024-05-23 20:37:38.478570,16,17,80836,40446,15486,9794,4755.058823529412,2379.176470588235,910.9411764705883,576.1176470588235,5,5,2,5
U17,smann,success-he-reveal,https://placekitten.com/895/1021,https://welch.com/,717691,715,"At business such again firm seven. Music value it bit.
Remain animal easy cold head age rise. Half type include but. Pattern Democrat human stage staff.",1545,2022-10-13 21:10:03.147105,17,11,49769,28329,12669,6190,4524.454545454545,2575.3636363636365,1151.7272727272727,562.7272727272727,3,1,4,3
U18,hbrown,machine-believe,https://placekitten.com/987/102,https://collins-carlson.com/,711020,335,Attorney foreign beyond man yard to there. Article letter market day dream bring project. Argue industry model method game.,1518,2023-07-12 17:16:30.396645,18,13,66349,30290,11215,5951,5103.7692307692305,2330.0,862.6923076923077,457.7692307692308,3,4,4,2
U19,lgarcia,human-call-paper,https://picsum.photos/829/892,http://rogers.info/,380091,1442,"Check hit name then. Management election that law try light raise.
Individual brother thought administration. American serve teacher hotel recognize catch. Economic third whose call whether all edge.",6252,2020-11-11 03:03:50.198303,19,15,76163,36643,16999,9004,5077.533333333334,2442.866666666667,1133.2666666666667,600.2666666666667,2,4,9,0
U20,holmesshawn,impact-yet-hair-ten,https://picsum.photos/61/311,http://www.davis.org/,14583,1698,"Arm room wear card. Close gun huge fire present. Read former future rest.
Write old window institution brother. Social source everything project note majority. Hand size could word as.",9754,2022-02-05 16:35:27.413307,20,6,33536,9976,8773,2878,5589.333333333333,1662.6666666666667,1462.1666666666667,479.6666666666667,4,1,0,1
U21,emilywhite,author-add-only,https://dummyimage.com/98x250,https://www.rodriguez.com/,767813,4778,"Team wide country culture citizen figure point again. Major huge trial nor teacher.
Argue ball benefit scientist investment claim. Nothing candidate money happy create rich away.",4782,2024-04-04 21:55:36.447411,21,13,86644,29555,14421,6266,6664.923076923077,2273.4615384615386,1109.3076923076924,482.0,5,2,5,1
U22,howard73,sense-conference,https://placekitten.com/156/679,https://malone-wilkins.com/,417890,3375,Idea black event. List rest close through one. Who institution different statement. Newspaper until small as standard town.,6123,2023-08-27 17:37:24.586040,22,11,46969,32371,9423,5528,4269.909090909091,2942.818181818182,856.6363636363636,502.54545454545456,2,4,3,2
U23,kwatson,stock-raise-scene,https://picsum.photos/689/800,https://www.kelley.com/,8013,2948,"Democrat voice them book site book give court. Hair also race four grow perhaps whom. Worry arrive environment season.
Notice officer decide guess. Voice floor hand always above since off.",3736,2020-04-30 01:35:08.223034,23,16,93965,47629,17990,9037,5872.8125,2976.8125,1124.375,564.8125,4,4,2,6
U24,todd70,agreement-camera,https://placekitten.com/610/586,https://peck-hatfield.com/,677394,2036,Debate blue baby senior the use drop. Have budget herself. Yet Congress conference begin financial suffer.,6956,2020-02-24 06:42:15.457971,24,16,74716,36930,19867,8657,4669.75,2308.125,1241.6875,541.0625,4,4,5,3
U25,john00,account-speech-yes,https://dummyimage.com/149x628,https://dougherty.com/,109844,4836,Picture really become source Mrs. Painting happen politics both show. Almost information important TV.,7442,2020-08-28 19:45:03.765069,25,7,38412,18376,6006,3473,5487.428571428572,2625.1428571428573,858.0,496.14285714285717,0,3,2,2
U26,william19,control-hotel,https://dummyimage.com/145x394,http://www.lee-wheeler.com/,696755,1717,"Whose floor inside size PM reason effort everybody. Tell trial test theory probably.
Apply nice future after about. Rise space head mission agency right. Common win because participant all part.",616,2022-11-28 10:46:44.042458,26,6,38881,15090,6607,4380,6480.166666666667,2515.0,1101.1666666666667,730.0,2,0,3,1
U27,karenstokes,shake-very-shoulder,https://picsum.photos/708/414,https://www.frost-landry.com/,355804,742,"I body exactly remember kitchen. Single north while else arm evening.
Usually carry discover those none away above. Order relate short production most. Early pretty or become.",4197,2023-04-10 21:15:22.658305,27,17,82091,47557,22262,7217,4828.882352941177,2797.470588235294,1309.5294117647059,424.52941176470586,3,6,4,4
U28,meltonwilliam,behavior-rest-ready,https://dummyimage.com/263x392,https://patton-gould.com/,391773,297,Citizen senior though while young. Raise born price commercial voice financial step. Half factor laugh act responsibility. Effect style great particularly industry than.,4078,2022-10-18 23:17:01.052331,28,19,97484,42034,19661,10453,5130.736842105263,2212.315789473684,1034.7894736842106,550.1578947368421,3,3,6,7
U29,justin94,rock-another-recent,https://picsum.photos/401/469,http://www.ward-blanchard.net/,777807,541,Into American most write in thus. Rise tough discover Republican. Radio recently no Mr at evening.,8393,2022-07-04 16:27:07.375203,29,19,94586,47563,18759,6989,4978.210526315789,2503.315789473684,987.3157894736842,367.8421052631579,6,7,1,5
U30,josephsmith,reach-thing-between,https://placekitten.com/343/763,https://www.zuniga.org/,774922,2955,"Stop know if go. Question figure majority message suffer create arm.
Six piece hotel fast specific. Court be significant give. Media onto represent quickly partner level.",5355,2020-12-02 16:07:57.133111,30,8,53837,18021,6505,3627,6729.625,2252.625,813.125,453.375,3,2,3,0
U31,brandonfry,billion-everything,https://placekitten.com/924/99,http://banks-frederick.com/,128470,1550,"Prove life speak and. Cold including their. Could avoid expect whom medical. Boy might soon.
Body event suffer them within ever woman unit. Land memory message weight so billion capital.",6540,2021-07-22 23:53:29.911072,31,16,74439,42400,18400,6885,4652.4375,2650.0,1150.0,430.3125,2,5,4,5
U32,xhenry,father-suddenly,https://placekitten.com/72/254,https://pacheco.net/,682296,4884,Thousand process show beautiful special thought. Serious give allow light draw strong fact. Approach raise cover board enjoy court child politics.,5936,2023-03-17 13:11:42.218389,32,15,61228,29221,15836,7972,4081.866666666667,1948.0666666666666,1055.7333333333333,531.4666666666667,2,4,6,3
U33,davidhernandez,suffer-land-might,https://placekitten.com/11/545,https://hill.com/,106503,4209,Cover interesting another born always may. Understand choose movement financial pull guy middle. Arm take check buy arrive.,1724,2020-05-06 13:13:42.881805,33,11,41415,33676,8367,5866,3765.0,3061.4545454545455,760.6363636363636,533.2727272727273,3,3,2,3
U34,hollyjackson,box-market-boy,https://dummyimage.com/917x5,http://www.brown.com/,196140,1592,"Hope know move consider investment at region.
Record ask argue fly international board various team. Teacher technology newspaper difference.
Song southern bank. Doctor clear record.",7466,2020-05-06 14:57:27.317509,34,12,53428,32753,9963,5606,4452.333333333333,2729.4166666666665,830.25,467.1666666666667,3,3,2,4
U35,kylewilson,up-part-fact-friend,https://placekitten.com/217/147,http://haney-perkins.net/,380262,1942,"Might score image development. Describe later receive increase method.
Gun always purpose later good. Control card analysis tax.",671,2021-06-02 01:55:54.339956,35,1,7629,1266,1143,73,7629.0,1266.0,1143.0,73.0,1,0,0,0
U36,haleymerritt,church-receive-fill,https://dummyimage.com/754x334,https://www.jackson-williams.com/,768588,1686,"Run machine main medical save role give. Mind above lawyer stage.
Develop these class program throw note compare.
Stay actually pay central give box.",5972,2023-05-04 15:25:10.541208,36,1,6518,4317,1357,616,6518.0,4317.0,1357.0,616.0,1,0,0,0
U37,powerselizabeth,history-door,https://dummyimage.com/888x920,https://smith.org/,303147,4821,"Subject hotel training after sell human itself. Hit land by so kitchen represent imagine.
Government none respond drive. Type decade stop.
Boy top adult sign. However just yes first.",4822,2019-10-11 22:40:50.460030,37,9,36560,21772,10257,3746,4062.222222222222,2419.1111111111113,1139.6666666666667,416.22222222222223,5,1,3,0
U38,lrobbins,something-wear,https://dummyimage.com/860x633,https://costa.com/,587040,4722,"Accept second risk wife ever ball rule. Show financial thus. Kid else take one.
Effect series week. Unit look ability sport between their.",4657,2024-02-12 12:36:37.963316,38,15,80851,29453,16135,7673,5390.066666666667,1963.5333333333333,1075.6666666666667,511.53333333333336,4,1,8,2
U39,danielmartin,part-situation,https://picsum.photos/310/284,https://johnson.com/,420317,4346,Republican save physical according another very inside. Cut bad although everybody machine blood wonder. Effort cut produce mention week compare performance. Can feeling nor project meet give.,7303,2020-04-10 09:25:39.502557,39,5,23119,10620,3042,2663,4623.8,2124.0,608.4,532.6,0,2,0,3
U40,armstrongjeffrey,address-kitchen-how,https://dummyimage.com/30x621,https://jones.biz/,245522,1911,"General just bar page test care resource. Book next imagine chair guy. International increase source.
Identify personal reach more real brother. Him inside her provide.",9373,2020-09-05 13:06:28.250382,40,13,52886,26414,11807,7728,4068.153846153846,2031.8461538461538,908.2307692307693,594.4615384615385,1,1,6,5
U41,aaron42,professor-military,https://placekitten.com/731/821,http://cruz.com/,845683,617,"Mother large it support. Hotel sea network east participant.
Capital news unit stage race. Attack beat this defense. Wrong health drop add.",4186,2022-11-18 17:41:03.694624,41,1,881,2842,1723,58,881.0,2842.0,1723.0,58.0,0,0,0,1
U42,hardyjudith,material-fear-move,https://placekitten.com/389/374,http://pennington-church.com/,745567,3221,Field beyond name minute Congress stop speech. Each start student benefit remember worker music politics. Hard need west able.,3654,2021-08-14 20:55:21.291736,42,4,27223,9677,4548,633,6805.75,2419.25,1137.0,158.25,1,1,2,0
U43,paulparker,well-enjoy-pressure,https://dummyimage.com/1018x787,http://www.moore-morales.com/,600899,4097,Minute environment heart economy war special. They coach baby here those. Scientist hope any trade who.,4727,2020-02-06 21:41:48.153770,43,18,104782,47681,15305,8298,5821.222222222223,2648.9444444444443,850.2777777777778,461.0,5,5,5,3
U44,codonnell,help-state-black,https://placekitten.com/687/2,http://silva.com/,314133,4337,"Education specific happen toward line loss stay.
Admit central play although. Senior spend president similar.",9256,2023-12-02 15:55:41.997957,44,15,72470,29671,14890,6127,4831.333333333333,1978.0666666666666,992.6666666666666,408.46666666666664,2,4,6,3
U45,thomas87,argue-above-whom,https://dummyimage.com/591x75,http://hunter.info/,740323,1159,"Agree even detail yourself. Follow take center final daughter animal city.
Within manage give respond effect. Beat score project student character project without job. Feel use girl crime.",258,2024-02-26 17:54:55.100150,45,8,47098,19329,8056,3445,5887.25,2416.125,1007.0,430.625,1,3,2,2
U46,allenheidi,give-why-inside,https://picsum.photos/109/6,https://french.org/,902985,1784,"Sound entire hold report add majority. Improve new agreement.
Wrong me piece low hair already officer behavior. Task something teach put himself personal natural sell. Suggest actually body free.",3967,2022-06-15 19:45:17.316384,46,19,75806,50070,22919,9091,3989.7894736842104,2635.2631578947367,1206.2631578947369,478.4736842105263,4,8,6,1
U47,aclark,issue-describe-sell,https://picsum.photos/348/360,http://www.wilson.com/,594384,4092,Person myself morning deal environment similar treatment. Data study clear leg order garden. Look people technology run.,7292,2022-05-29 00:28:59.628665,47,4,25116,14117,2335,1977,6279.0,3529.25,583.75,494.25,1,0,1,2
U48,michelle85,necessary-involve,https://placekitten.com/23/239,http://www.mercer.biz/,519499,1747,Hope pass price future red miss single. Property lay debate student. Pick number strategy attack it father window grow.,854,2023-06-21 17:45:27.592454,48,3,24791,3631,4062,1241,8263.666666666666,1210.3333333333333,1354.0,413.6666666666667,1,0,1,1
U49,kgreen,green-tv-appear,https://placekitten.com/510/828,https://www.ballard.com/,449785,4866,"Cut room yourself personal first hot. Building rise interest knowledge. Mean soon stay hospital pick write probably.
Mind stuff magazine serve church. Realize account still should study.",5688,2020-10-31 10:21:38.278206,49,3,5960,8401,2714,1257,1986.6666666666667,2800.3333333333335,904.6666666666666,419.0,0,1,1,1
U50,rherring,guess-seven-mean,https://dummyimage.com/413x183,http://ward.com/,634042,4772,"Different per step fly usually. Region most truth writer movement move.
Yeah eat goal student. Development turn take reach sell seven language.",1089,2019-09-03 00:17:06.319618,50,15,70340,39741,17368,8095,4689.333333333333,2649.4,1157.8666666666666,539.6666666666666,6,6,2,1
U51,charleshernandez,nation-they-store,https://placekitten.com/108/120,http://www.burns.com/,592181,3035,"Condition choose near interesting hair. Between college people sea scientist car board.
Father one worry little car good where. Realize international quickly Congress sit trip.",1118,2021-10-28 14:38:36.208783,51,12,61077,22864,14682,5518,5089.75,1905.3333333333333,1223.5,459.8333333333333,3,4,3,2
U52,wilsonjason,item-debate-can,https://placekitten.com/353/254,http://www.coleman.info/,455239,1430,"Explain serve quite have parent nothing. Civil only trip. Where week TV middle.
Sure gas election power. Picture lay international type.",9247,2024-06-17 18:48:47.765548,52,5,19026,13934,5498,3412,3805.2,2786.8,1099.6,682.4,2,2,1,0
U53,afitzgerald,save-for-onto,https://picsum.photos/646/982,https://harris.com/,225164,608,"Eight necessary bag future herself piece moment. Career thus action.
Far second me clearly happen. Success middle relationship daughter. Letter scene fast when away.",4079,2024-03-30 07:05:39.674221,53,14,65760,28001,15365,7797,4697.142857142857,2000.0714285714287,1097.5,556.9285714285714,1,5,5,3
U54,timothyhenry,specific-kitchen,https://dummyimage.com/7x830,https://alvarez-blackburn.com/,968901,110,"Glass evening about offer game. Write source power common. Camera once certainly who.
Occur statement catch course. Service physical history tell or friend maintain.",9726,2021-07-28 16:31:42.683264,54,1,3251,3926,1,330,3251.0,3926.0,1.0,330.0,0,0,0,1
U55,johnsoncolleen,cost-law-whole-main,https://picsum.photos/116/496,https://www.romero-fernandez.org/,118375,4218,"Ahead American area data up recently stand probably. Type specific billion style operation member black. Field voice detail worry.
Set many address west every off or. Receive somebody attorney.",5634,2019-09-03 23:44:42.197000,55,19,89545,45204,21039,11419,4712.894736842105,2379.157894736842,1107.3157894736842,601.0,2,4,6,7
U56,bscott,whom-seem-with,https://placekitten.com/502/1022,https://shaw-lewis.info/,1154,1926,"Night past never find himself all agreement. Design PM soon mission.
Knowledge spend method song. Hotel seek attorney.
Help last hour model. Movie conference defense plant. New institution like.",6902,2022-09-28 19:37:59.003738,56,5,26791,16869,3919,2745,5358.2,3373.8,783.8,549.0,2,2,1,0
U57,chadbarton,kid-range-card,https://placekitten.com/157/759,https://www.young-brooks.info/,895111,1974,"Become history this. Stuff build down ago.
Imagine write mind score son. Someone economic boy not up.",3272,2020-12-03 21:37:37.862293,57,14,64689,33845,15367,6008,4620.642857142857,2417.5,1097.642857142857,429.14285714285717,4,2,5,3
U58,susanbell,executive,https://placekitten.com/871/47,http://liu-reid.biz/,926003,2870,Certainly stand leg small body business early. Prepare crime leave inside thought thus. Official open miss now you. Response political challenge support friend.,7181,2021-03-01 15:49:15.575969,58,8,48671,19621,7824,3642,6083.875,2452.625,978.0,455.25,4,2,1,1
U59,hornemichael,project-parent-fine,https://placekitten.com/481/572,http://butler.info/,526791,4488,"Base worry employee offer pattern. Admit indicate able score.
Serious north understand base hear.
Often another himself indeed. Identify just car go picture expect authority yeah.",6268,2020-11-30 04:43:45.356475,59,1,1765,3377,165,64,1765.0,3377.0,165.0,64.0,0,0,0,1
U60,isaac86,chance-two,https://dummyimage.com/15x314,https://www.howard.com/,82883,1458,"Reach happen cup. Through character listen note son continue.
Scientist interest safe begin. Will with almost west soldier then simple.
Five art what north financial suddenly. Tax care billion.",6953,2024-03-16 17:12:42.172220,60,1,4397,1119,1701,666,4397.0,1119.0,1701.0,666.0,0,0,0,1
U61,ryanmelissa,responsibility,https://picsum.photos/503/588,https://www.roberts.net/,661993,388,"Debate TV end stage. Unit protect affect. Unit protect police their.
What institution risk. Thank future effect require family difference.",120,2021-12-11 21:07:58.503972,61,9,44172,26364,10876,5827,4908.0,2929.3333333333335,1208.4444444444443,647.4444444444445,0,7,1,1
