id,type,name,category,industries,geo_reach,market_demand,sales_volume,brand_reputation
pro001,product,product ingredient sourcing,processing,"outsourcing/offshoring, ranching","north korea, belize, united arab emirates, south africa, djibouti",high,high,low
pro003,product,legal compliance software,cultivation,pet services,"maldives, palestinian territory occupied, ethiopia, brazil, nicaragua",low,high,high
pro005,product,product branding,processing,"reit - diversified, forestry and logging",suriname,high,low,low
serv008,service,market expansion strategy,marketing,"web development, fuel cell manufacturing, insurance carriers","cameroon, brunei, bosnia and herzegovina",high,medium,low
serv010,service,marketing agency,technology,"auto and truck dealerships, aluminum","saudi arabia, eswatini, liechtenstein, mayotte, nauru",high,high,low
serv012,service,healthcare services,processing,"investment advice, gambling","saint lucia, bolivia, greece",low,low,low
serv014,service,compliance services,medical,"semiconductor equipment and materials, electronics",saint pierre and miquelon,low,high,low
pro015,product,technology patents,education,"reit - hotel and motel, financial conglomerates","british indian ocean territory, south africa, kiribati, micronesia, mozambique, panama",high,medium,low
pro017,product,seed genetics research,compliance,"office administration, furnishings fixtures and appliances","micronesia, poland, sweden, algeria, zambia, chile",low,medium,high
pro019,product,health and wellness products,cultivation,"food and beverages, reit - healthcare facilities, coal mining","saudi arabia, morocco, cocos (keeling) islands, libya",low,low,medium
serv022,service,legal dispute resolution,medical,"pharmaceutical manufacturing, packaged foods, it system installation and disposal","peru, north korea",high,high,medium
pro023,product,product testing,compliance,"travel, nonprofit organization management","burkina faso, tanzania",medium,high,low
pro025,product,retail merchandising,retail,haulage,"togo, ecuador, andorra, equatorial guinea",medium,high,high
serv028,service,financial services,medical,"courts of law, online media","eswatini, georgia, lebanon, british indian ocean territory, new caledonia",low,low,low
serv030,service,trade association,processing,pension funds,"aland islands, qatar, syria, sweden",high,medium,high
serv032,service,real estate services,marketing,"electric power transmission, control and distribution, electrical and electronic manufacturing, think tanks","moldova, south sudan, new zealand",low,high,medium
pro033,product,seed genetics research,marketing,"wholesale lumber, supply chain, government relations","aruba, sint maarten (dutch part)",low,low,medium
serv036,service,quality control,marketing,household appliance manufacturing,"sao tome and principe, ghana, gambia the, united arab emirates, turks and caicos islands",medium,medium,medium
serv038,service,environmental sustainability,education,"theater, cleaning","saint helena, guernsey and alderney, venezuela, haiti, ukraine",low,low,medium
serv040,service,retail analytics,medical,ground passenger transportation,"south georgia, marshall islands, guatemala, portugal",low,medium,medium
pro041,product,consumer product reviews,marketing,specialty chemicals,"czech republic, romania, angola, bhutan, guyana, kyrgyzstan",high,medium,medium
pro043,product,cbd product manufacturing,retail,"radio and television broadcasting, construction hardware manufacturing","netherlands, guinea-bissau, vatican city state (holy see), liberia, ghana, zambia",medium,low,high
serv046,service,retail analytics,education,"wine and spirits, advertising services",netherlands,medium,high,medium
serv048,service,advocacy campaign management,accessories,"aviation and aerospace component manufacturing, utilities - regulated gas","eswatini, united states minor outlying islands",medium,medium,medium
serv050,service,logistics and transportation,processing,scientific research services,norfolk island,high,low,high
serv052,service,waste management solutions,education,"market research, printing","montenegro, san marino, libya, djibouti, burkina faso, georgia",medium,low,medium
pro053,product,cbd product manufacturing,recreational,press and media,australia,low,high,high
serv056,service,transportation solutions,medical,"audio and video equipment manufacturing, holding companies, financial conglomerates",nauru,low,medium,medium
pro057,product,product ingredient sourcing,medical,"industrial metals and minerals, medical distribution","south sudan, syria, chile, haiti, japan, tokelau",low,low,low
pro059,product,product innovation labs,technology,"health and human services, shoes manufacturing","eritrea, bhutan, taiwan, rwanda",high,medium,high
serv062,service,financial services,recreational,"physicians, automotive","united arab emirates, saint vincent and the grenadines, ireland, french guiana",medium,medium,high
pro063,product,health and wellness products,cultivation,"chemical, non-profit organizations, computer software","yemen, angola, luxembourg, gibraltar, papua new guinea, el salvador",low,high,high
pro065,product,product supply chain transparency,cultivation,venture capital,"namibia, botswana, tajikistan, nigeria",medium,high,medium
serv068,service,data analytics,education,"audio and video equipment manufacturing, wholesale food and beverage","saint-martin (french part), gibraltar, montenegro",medium,medium,medium
serv070,service,industry analytics,medical,"oil and gas refining and marketing, toys","cura\u00e7ao, cocos (keeling) islands, argentina",high,high,high
pro071,product,product certification,technology,"television and video production, government relationship services","morocco, bolivia",low,medium,medium
serv074,service,industry training programs,technology,"physical, occupational and speech therapists","united kingdom, sri lanka, papua new guinea, venezuela",medium,medium,high
serv076,service,financial services,marketing,"animation and post-production, nonmetallic mineral mining, plastics and rubber product manufacturing","guyana, sao tome and principe, sierra leone, mali, new caledonia",low,high,medium
pro077,product,legal compliance software,compliance,fossil fuel electric power generation,gambia the,high,low,medium
serv080,service,industry analytics,processing,"video production, footwear and leather goods repair, scientific and technical instruments","french polynesia, turkmenistan",medium,low,medium
serv082,service,retail customer loyalty programs,cultivation,nanotechnology research,"yemen, mayotte, nicaragua, gabon, saint vincent and the grenadines",low,low,medium
pro083,product,retail merchandising,medical,"radio and television broadcasting, textile manufacturing, data security software products","niger, faroe islands",high,low,high
pro085,product,technology patents,cultivation,"logistics and supply chain, public relations and communications services",man (isle of),low,medium,high
pro087,product,product compliance auditing,medical,sports and athletic,rwanda,high,low,medium
serv090,service,supply chain management,medical,"sporting goods, engines and power transmission equipment manufacturing","vietnam, tuvalu, fiji islands",high,medium,medium
pro091,product,product ingredient sourcing,accessories,"business content, oil and energy","iraq, denmark, montserrat, kosovo, slovenia",medium,medium,high
pro093,product,retail merchandising,cultivation,"service learning and volunteer, nonmetallic mineral mining","senegal, congo, cocos (keeling) islands, american samoa",high,medium,high
pro095,product,trade publication,education,energy,"poland, thailand, panama, moldova, australia, fiji islands",medium,high,high
pro097,product,extraction and processing,marketing,"public safety, retail trade","finland, kuwait, american samoa, slovakia, vanuatu",high,low,low
pro099,product,seed genetics research,cultivation,"copper, steel","sierra leone, djibouti, portugal",low,low,medium
pro101,product,retail merchandising,accessories,wedding planning,"denmark, the bahamas, venezuela",low,low,high
pro103,product,health and wellness products,marketing,"wood products, chemical manufacturing","bangladesh, slovenia, faroe islands, senegal, greenland, south georgia",low,low,low
pro105,product,product testing,recreational,"chemical manufacturing, residential building construction, auto and truck dealerships","china, maldives",low,high,low
serv108,service,insurance underwriting,marketing,"salvage and demolition, textile product mills, laundry","pakistan, malawi, tanzania, congo",low,medium,low
serv110,service,social media management,education,shipping,"democratic republic of the congo, vietnam, malawi",medium,high,low
pro111,product,farming equipment,recreational,"medical devices, home health care services",georgia,high,low,high
serv114,service,consulting services,technology,"laundry and drycleaning services, publishing","panama, argentina, virgin islands (us), kiribati, belgium, uruguay",high,low,medium
serv116,service,legal compliance training,marketing,"language schools, public policy offices, wholesale consumer electronics","timor-leste, malta, south sudan, guam",high,low,medium
