id,user,asset_type,asset_id,created_at
776269999269473226,ORG1845,event,EV257,2020-02-27 06:25:42.662900
759740565373512738,U954T,capability,pro003,2020-02-27 02:10:39.715884
183420722294095031,U2713R,tweet,89097973778532089,2020-12-20 05:17:12.154145
113822496342772651,U3241S,tweet,388551830346723040,2020-06-30 06:38:43.736278
202558295131345113,U399P,tweet,973694276608295289,2022-01-28 13:48:16.211822
85493225873151053,P1482T,event,EV444,2023-10-02 22:25:58.777423
542398878302238959,U3231U,tweet,351198574440476775,2021-07-12 10:35:45.317876
218103473139696046,U2725T,opportunity,opr036,2020-08-21 07:59:41.491907
740512541380506025,P2627D,tweet,509961007803446727,2022-03-18 20:10:50.300806
528349629101201758,P1916K,event,EV247,2020-05-03 15:40:35.676952
262447072384930931,U201H,tweet,849318416200326024,2020-12-01 19:28:25.427438
58596623940303407,ORG2591,opportunity,opr043,2024-05-16 10:52:51.980999
561880377626145772,U3774W,event,EV087,2022-06-04 09:57:42.475840
451013081019001563,ORG3031,event,EV082,2020-07-18 22:55:20.864493
961216349934617245,ORG3020,opportunity,opr092,2020-01-07 15:28:03.494211
683499878302243042,ORG3052,news,N164,2020-08-19 07:36:53.334118
614109186585028241,ORG3473,opportunity,opr080,2024-02-16 08:02:58.703344
3755068284154521,P1234F,tweet,598356818345640477,2022-12-02 02:44:16.759470
37685518188688105,U2237D,tweet,940836520422090413,2022-02-26 17:28:17.148499
596509559696621628,P3108G,tweet,18924784107167787,2023-04-20 17:00:48.004513
664185783531473673,P2320G,news,N117,2023-09-02 14:23:34.531351
337818946035736898,P719W,opportunity,opr043,2020-05-06 19:31:14.329223
310723580977628610,ORG3239,tweet,424091552644902440,2021-11-07 18:54:08.204268
988562004395048976,P1886J,news,N352,2023-12-31 16:05:04.634130
219275824633057176,U2977Q,tweet,727675620310459758,2023-07-11 02:09:05.686057
291034476742556971,P612P,news,N250,2021-09-13 06:45:28.615184
331255574049168067,P271K,news,N453,2020-09-20 06:57:13.745516
204244700250070541,U3150U,news,N151,2021-02-15 04:14:13.967685
739877014512275106,ORG691,news,N314,2024-08-12 17:23:09.748907
151345310910424313,ORG2541,capability,pro535,2023-02-08 19:03:20.224097
278624477138143829,P405L,news,N040,2024-02-06 10:02:58.531965
603166064459322425,P3093P,news,N308,2022-02-11 05:21:35.283909
71032860065646464,U3510N,news,N285,2021-05-19 05:59:01.936588
463897080693776623,P3514M,news,N287,2021-02-18 02:21:17.665061
668662132582014439,P1510I,capability,serv126,2023-10-10 00:24:44.639790
393397721567602788,U1479N,capability,serv280,2022-11-15 11:16:37.834763
635092280421410031,U1474Y,tweet,546060882786339084,2020-06-20 06:04:49.505619
355537015222722513,ORG1395,capability,serv414,2020-04-12 17:20:32.408362
731578570809234717,U484E,news,N495,2023-06-28 08:00:37.594571
834729573929825698,ORG1214,opportunity,opr050,2020-09-27 04:39:51.865541
237533233477463026,P1837K,tweet,560422549757757423,2022-07-09 14:56:49.893199
648395270214618072,P103A,tweet,598474227112071968,2020-06-30 10:28:00.117589
933080012359333136,P3054X,news,N438,2020-04-02 04:35:06.396429
118728757147984493,P1833X,news,N003,2022-04-12 15:45:11.123147
219847756879013206,U834W,event,EV048,2023-09-30 10:13:29.556188
1156304184410688,P3938E,tweet,660151808323449027,2024-01-06 18:06:59.335339
855863318499513116,ORG1000,opportunity,opr097,2022-02-01 13:00:37.801609
863852683142986740,U2163I,news,N300,2022-08-17 10:31:28.892044
274330481368590495,U359U,news,N187,2022-06-20 23:31:05.074778
292442361798092034,U695S,news,N262,2023-04-30 19:34:33.922004
40757475171618119,U098J,capability,serv602,2022-06-14 03:46:51.849930
469405507826748975,P380C,news,N351,2023-02-22 14:22:16.786990
911483779590239182,P1513X,news,N064,2021-07-14 22:09:09.823098
832224955096985054,U2951Y,opportunity,opr060,2022-04-30 14:09:34.839388
979643603580325096,P3873B,tweet,559293319823337463,2023-05-15 21:24:13.381624
380849726220211195,P1201T,tweet,913326244552772190,2021-12-22 23:55:14.711922
525124199872329273,ORG1980,capability,serv344,2022-11-12 12:45:43.115913
461348559403149662,P1284T,capability,serv280,2023-04-27 01:03:53.191775
739018960434114415,ORG099,opportunity,opr004,2020-08-13 00:47:57.855173
578993364652011281,U1244N,capability,serv600,2021-04-16 14:40:07.831266
173076379004685062,U3722Q,news,N222,2021-07-13 10:38:29.117543
366714442514029650,U276J,event,EV450,2022-03-24 13:04:24.463495
522356130342690130,U3551S,news,N410,2022-12-16 04:35:38.361122
326725470026466185,P1616B,event,EV332,2023-03-06 04:23:40.269644
523453092768307325,ORG3326,tweet,680872287452420142,2021-06-22 01:11:01.473510
943112543360579414,U2478B,news,N211,2023-09-07 04:55:20.707833
695623800647983276,ORG1458,tweet,154709681853227091,2020-12-07 02:47:10.215357
507420544135151602,P1969H,tweet,410425414714701966,2020-11-08 18:24:50.076068
394695748740370571,U607E,opportunity,opr078,2024-01-19 01:10:09.646973
344662052311903156,U3499K,opportunity,opr070,2022-02-28 19:40:09.517098
930765027835447862,U2760J,event,EV119,2023-03-16 17:28:04.436269
645255352670950887,ORG1962,news,N286,2024-05-31 12:00:12.749017
301924436135064499,P231D,opportunity,opr110,2024-08-10 16:35:39.001328
291916004484896805,P2754W,tweet,332359731640858513,2020-07-14 03:53:11.566793
231330145978688178,U491G,tweet,103041897454158046,2020-09-09 00:50:16.070220
272517103898500174,ORG2845,capability,serv114,2021-04-25 20:27:16.795522
418689675943174336,P491W,tweet,668636537275613031,2023-08-14 06:36:44.800444
237940224601841781,P2836O,opportunity,opr016,2020-01-26 15:38:03.581607
365022368141734749,ORG2406,opportunity,opr006,2022-11-24 15:19:09.844595
158266798890938600,U3872G,tweet,529868924593172534,2022-05-25 08:50:24.320650
432337061241972340,P3744W,tweet,319898259427891783,2022-08-17 11:32:02.112164
636861112873278551,U1901N,capability,pro295,2023-03-03 22:49:46.387338
288758719344420418,ORG1015,news,N433,2020-07-13 08:51:55.105715
922485102969370567,P2503O,tweet,163457799865098402,2020-10-24 23:07:17.898449
249431527063921280,U1764K,opportunity,opr100,2024-04-06 07:20:11.527431
965205024101976482,P2532C,capability,serv314,2020-06-21 03:11:15.877789
558886925937817202,U3734I,event,EV183,2024-02-24 15:33:35.912526
938406083414949984,U429Y,capability,serv050,2021-07-01 15:23:54.288531
469381696816045161,P1027N,tweet,276445716112049597,2024-02-23 03:41:29.537613
958781305152458164,P1930U,event,EV076,2020-01-09 19:48:05.934243
945174809426315680,ORG3676,event,EV027,2023-03-03 03:28:34.492697
870077352018861569,ORG1012,news,N054,2020-02-03 10:30:18.475547
63404242900349866,ORG1768,news,N464,2023-11-20 05:25:52.847399
225226150622718574,P3839H,news,N319,2023-01-28 13:44:21.338441
646659206830756670,U1802Y,tweet,373997319825469803,2020-11-19 08:43:38.717041
354837697840468467,U1950K,tweet,799293510419392705,2021-09-01 02:36:24.418553
197105543886412396,P3764Q,event,EV179,2021-06-21 11:41:54.175396
5642106117947003,P1510I,tweet,40763913564778161,2021-08-15 19:58:26.483677
270305146649417216,U2215T,opportunity,opr022,2023-10-25 01:43:00.343986
956116155912483842,U2175Q,opportunity,opr024,2023-02-23 01:16:18.642433
334025562480283734,U1606W,event,EV444,2021-08-17 16:30:59.050003
932550599176530376,U1913N,tweet,622303251955678933,2020-07-28 03:17:21.263428
471124351795885346,P963X,opportunity,opr117,2023-05-03 19:40:20.849698
665880035015100525,U2919W,tweet,949900007891809675,2020-03-19 03:01:32.776624
493572342309626262,P484Z,tweet,116111955734094244,2020-10-04 03:10:17.384099
626586698022838709,U2259P,capability,serv062,2023-03-02 13:20:26.616008
562667138308158246,U3053C,news,N485,2021-04-17 21:27:58.669310
270935059122985087,U3308F,event,EV318,2021-07-31 03:27:41.779545
264217661147849829,U2848K,capability,pro425,2023-08-24 15:27:49.665234
948519065317099313,U3559S,tweet,287771971394248234,2024-05-27 18:37:52.112610
848251319388587159,P1588T,tweet,141046301459162344,2022-06-26 21:01:30.410380
710958791686456089,U3743X,capability,pro377,2021-01-23 00:44:27.932730
294041558941333403,P630O,capability,pro043,2024-06-20 11:22:26.183762
110541149579308086,P138B,news,N321,2020-09-24 11:58:34.843848
637367377024378332,P3550U,event,EV405,2021-04-19 11:56:08.962666
281626490493693332,P188E,opportunity,opr017,2023-08-16 10:25:49.964943
51603622439533359,P3415X,capability,serv322,2020-07-31 11:13:33.853203
846165510346809019,U3204B,event,EV317,2023-06-10 16:35:54.504612
316313586635738570,P1494Q,opportunity,opr110,2024-05-02 13:50:40.479654
548044342116784933,U2529W,tweet,421355192280048380,2022-04-12 20:15:15.575655
802184470224981802,ORG3899,tweet,303034746261694228,2023-01-10 00:22:29.405851
583476864011923864,U2270K,tweet,545567656117182113,2022-07-21 02:04:41.363265
435925008767758245,ORG2394,opportunity,opr099,2024-05-13 00:37:20.651220
474219464889321851,U387I,capability,pro597,2022-02-19 21:46:28.472381
760028668041445184,U336U,news,N407,2020-04-01 11:43:42.429957
836684753021812382,P3742P,opportunity,opr107,2021-03-06 15:30:59.355562
62748991650315860,U2646Q,news,N286,2020-06-26 11:06:25.716061
403695847482236114,P2399L,capability,serv280,2023-03-08 20:00:56.611924
617071111145721240,ORG1497,opportunity,opr070,2022-11-12 18:15:44.054846
236697559501194641,U3996S,capability,pro167,2024-05-12 20:53:02.281430
443247218389640641,U1032S,tweet,364570847933128891,2020-12-28 14:13:42.670749
954854654073126856,P874T,opportunity,opr008,2023-04-06 07:10:53.813224
849050024791734844,U3361K,event,EV203,2024-04-09 02:08:09.195728
892504174243542663,U2253Z,tweet,602934214561083570,2022-10-07 07:49:41.616644
621308426818896786,U3313Q,tweet,865481937445728926,2021-04-07 16:39:09.385550
701655558553353574,P1302A,capability,pro531,2021-06-21 09:08:15.230193
291815240983370273,U1841M,tweet,554679968745963761,2022-02-11 04:12:13.212296
288574604619537055,U210G,opportunity,opr026,2024-04-24 11:53:34.957557
565781682225456448,P1584Z,event,EV255,2022-08-30 22:41:32.990681
969669094779281375,P1333K,tweet,965962339082502498,2023-04-01 22:28:48.733376
138502589877732393,P298H,tweet,120113918041445355,2024-03-12 13:29:20.930121
337397804850924189,ORG868,news,N029,2023-07-18 04:27:53.297022
126483356377862024,P2536D,news,N016,2020-11-11 16:05:59.802987
657296516108390693,U014G,opportunity,opr072,2020-06-05 07:08:56.342075
427722083066949706,P1725F,opportunity,opr042,2021-10-01 14:45:44.482576
674812274211100161,U732Q,tweet,601931203228187522,2021-11-23 14:43:01.796948
157044525261865620,ORG3247,opportunity,opr025,2022-04-20 13:10:27.526985
34777116548776327,U2748B,event,EV111,2022-11-29 16:52:21.047397
549122935835523354,ORG3006,tweet,870646920221134333,2020-05-27 01:06:31.905685
406604153174849079,P3380N,news,N008,2024-02-16 19:22:58.911359
108673580390349945,ORG663,tweet,773480635949239817,2022-01-19 00:58:30.158145
117783832103268053,U3491A,opportunity,opr051,2021-11-02 03:49:08.676253
939320960012905693,P3993Q,news,N396,2022-08-09 14:12:13.575273
490621854052842472,P2156D,news,N175,2020-12-13 09:05:02.098184
508181282414083625,U277O,tweet,732342887612789816,2020-04-29 18:24:40.070855
125548640153643836,U661N,tweet,746924120924617144,2020-12-17 18:25:32.583273
263371597205531918,U2548H,capability,serv320,2020-01-05 21:08:10.309668
798595016728883610,U1979D,opportunity,opr083,2022-06-01 17:48:21.019884
364642220182980557,U1918X,opportunity,opr111,2023-08-25 00:01:51.416683
627142100036466757,U2559R,opportunity,opr047,2020-01-27 16:55:29.499062
66212864472026192,U1508Q,event,EV177,2021-12-31 13:18:58.694887
423889178841647911,U1843F,event,EV121,2021-09-17 09:40:54.442904
637649765568125866,ORG2640,capability,serv740,2022-09-27 11:14:39.113509
107017613337598301,U1422B,news,N389,2020-01-02 19:03:26.793868
112484306959389807,ORG2157,event,EV110,2022-01-31 00:15:29.193924
410476758062686047,P1759Q,tweet,530463361220096288,2021-03-20 07:39:56.722946
348693869169222161,P764K,opportunity,opr062,2023-07-02 21:53:20.717409
118472507831734762,ORG3400,news,N025,2024-02-29 17:57:08.378622
85665671361069092,U2254O,capability,serv120,2023-11-09 21:40:04.840127
648001516496164023,P1982F,event,EV011,2024-01-31 23:48:47.087473
282495455102290474,U1572W,opportunity,opr069,2022-04-28 10:15:36.867050
294043163695943507,U611Z,event,EV094,2024-01-26 18:15:05.113259
887221452204991734,U3883X,tweet,917658259602485438,2021-05-18 22:00:25.052677
217044105378350373,U3845K,event,EV320,2021-05-02 01:59:00.329704
383671843747644783,P034Z,tweet,223564018154609350,2023-04-15 12:56:35.351620
891981753034587172,P3479P,opportunity,opr099,2020-03-16 10:42:36.384106
218214882629443487,P1983V,tweet,787667531946583476,2024-02-27 17:32:02.302709
336867728323359939,P875G,opportunity,opr017,2021-10-20 00:36:46.768638
924280843324519239,P2018Z,capability,pro209,2023-08-04 21:20:57.441137
65931294305908931,U3354Q,event,EV173,2023-10-31 03:30:56.404065
22125133830004254,P3384Q,capability,serv516,2020-09-26 20:15:50.854705
176372260287874193,ORG2242,news,N055,2024-04-10 12:18:54.741331
503412665746488735,ORG2901,capability,pro087,2021-04-07 09:49:47.115653
318514107392322470,U3250J,capability,pro711,2023-05-20 03:08:14.618741
824168893102024353,ORG2446,opportunity,opr026,2022-09-18 22:38:59.351372
915402591534676020,P3108G,event,EV398,2021-07-11 19:10:52.807605
592209637821216890,U577C,opportunity,opr116,2022-12-13 16:53:52.242239
26344518262858338,P3528O,event,EV371,2020-02-04 12:45:40.770894
936029339303217801,U1807A,capability,serv736,2020-06-11 04:37:47.020422
319372837906984428,ORG923,tweet,468975611031371919,2020-07-24 04:53:19.318842
468458041311473717,P1903U,news,N471,2020-08-22 00:50:54.219113
117302916568775040,U3941P,opportunity,opr079,2023-07-04 04:38:05.202611
15886052048702463,P3764Q,news,N187,2022-01-29 18:51:13.168393
364611047003061995,ORG3831,opportunity,opr071,2022-03-09 01:58:06.826504
