id,sender,receiver,status,created_at,updated_at
1,U1605D,U989S,['accepted'],2021-03-18 06:08:57,2022-12-09 14:23:48
2,U461U,ORG1515,['pending'],2020-08-13 06:49:20,2022-09-09 17:51:14
3,U2622U,U3998F,['rejected'],2020-10-26 12:26:22,2023-08-22 21:32:14
4,U1953A,ORG2436,['accepted'],2023-08-10 04:00:50,2024-02-18 05:08:48
5,U3336K,ORG3133,['pending'],2020-07-19 08:53:54,2021-06-11 07:55:19
6,U1218Y,ORG012,['accepted'],2023-01-03 07:20:17,2024-10-21 20:15:36
7,U217D,ORG907,['accepted'],2023-10-05 12:07:57,2024-04-09 04:55:06
8,U1160G,U1323F,['accepted'],2024-12-18 11:09:18,2024-12-25 22:06:42
9,U428O,U395A,['pending'],2021-03-07 21:36:00,2023-06-21 14:53:00
10,U673W,U2197V,['pending'],2024-07-16 15:17:47,2024-12-02 22:16:21
11,U3085Z,U2310V,['pending'],2024-12-22 15:33:08,2024-12-25 20:26:22
12,U324A,U2717P,['pending'],2024-03-17 05:11:10,2024-08-02 14:10:58
13,U1701W,ORG1428,['accepted'],2024-11-12 04:42:11,2024-12-25 21:26:05
14,U982K,ORG1206,['pending'],2022-12-24 21:05:17,2023-01-19 04:09:18
15,U3440P,U074O,['rejected'],2022-09-11 09:39:00,2024-07-11 17:46:54
16,U768U,U060L,['accepted'],2024-03-24 16:58:57,2024-04-23 15:14:39
17,U913R,ORG031,['accepted'],2020-12-20 17:13:26,2021-11-02 21:24:13
18,U3933A,ORG2198,['pending'],2023-01-20 00:43:19,2024-01-25 12:45:40
19,U1455N,U2666M,['pending'],2023-11-25 05:39:21,2024-03-09 17:02:47
20,U1401O,U2688J,['accepted'],2021-11-24 01:26:16,2023-10-22 18:21:36
21,U952T,ORG3462,['pending'],2023-12-26 22:26:19,2024-01-15 22:58:44
22,U3161M,U3813K,['pending'],2024-11-21 11:43:51,2024-12-14 00:09:38
23,U3631I,ORG1907,['pending'],2021-03-11 03:47:16,2024-01-28 09:13:40
24,U1959A,ORG3422,['accepted'],2023-01-14 21:53:47,2024-11-28 16:06:37
25,U3964F,U2251C,['pending'],2022-11-16 04:29:56,2023-02-28 00:21:44
26,U3474Q,ORG2819,['pending'],2024-06-26 01:24:23,2024-08-12 00:21:24
27,U242Z,ORG1985,['accepted'],2020-01-16 16:37:36,2023-07-09 17:34:46
28,U738A,U1507R,['accepted'],2023-04-19 02:13:13,2024-11-07 06:39:05
29,U644Y,ORG087,['accepted'],2020-05-27 14:17:48,2022-06-26 21:29:40
30,U2120M,U2102E,['accepted'],2021-12-15 00:11:01,2022-01-26 01:57:26
31,U1258O,ORG933,['rejected'],2023-03-09 18:57:06,2024-02-02 20:58:43
32,U2527O,U2203T,['accepted'],2023-05-02 18:46:39,2023-08-20 07:53:10
33,U3863T,ORG116,['accepted'],2022-08-08 16:16:21,2023-07-22 01:35:23
34,U2136V,U544U,['accepted'],2021-12-29 16:28:02,2024-11-19 11:30:19
35,U1226P,ORG2728,['accepted'],2021-04-22 09:04:13,2022-08-27 18:16:12
36,U1499J,ORG1916,['accepted'],2022-08-17 09:36:58,2024-11-26 19:02:28
37,U3922Z,U1805E,['accepted'],2022-09-27 09:15:39,2023-08-20 02:31:23
38,U211I,U1438Y,['rejected'],2023-12-18 15:50:33,2024-01-10 08:06:20
39,U2483M,ORG1272,['pending'],2020-11-10 17:29:58,2022-10-06 20:11:38
