id,user,asset_type,asset_id,created_at
193180802076539682,P2342V,tweet,884311798763990946,2022-08-21 20:02:09.704908
650559835813228792,U407N,news,N328,2022-01-05 03:56:39.785476
461580245552269124,U512G,tweet,924666245434460883,2024-06-09 20:39:49.316289
993022462027417249,U1789K,event,EV333,2023-01-16 22:35:01.401443
394908887274095466,U1429J,event,EV453,2021-02-21 06:07:03.393039
753357796117601680,P3851M,opportunity,opr046,2021-05-11 04:33:30.243397
488282763078526578,P2096B,capability,pro159,2021-11-24 00:30:13.484709
269151585719359867,P3483N,tweet,467881531427565756,2021-09-25 00:09:22.539193
259367326640305070,P1483R,capability,pro571,2023-04-28 01:53:38.767640
98838283745461262,P637V,news,N420,2021-10-15 23:00:08.475676
961949860181576051,U2991V,opportunity,opr087,2024-03-11 00:36:04.108583
669906224343097067,P3053T,event,EV340,2020-07-24 07:36:30.320716
633449084851783076,ORG1956,opportunity,opr045,2021-12-20 20:15:46.689391
643727983590469451,U3171C,event,EV140,2021-07-12 12:04:03.922923
97506056070380982,U3729J,tweet,510275172485564840,2023-05-18 16:48:18.759405
292150423584622732,P2685N,capability,serv556,2024-03-21 09:48:17.017519
547203009127014858,U1558J,event,EV194,2023-08-27 20:55:21.263874
68540876362721119,U3339O,opportunity,opr053,2021-11-12 21:23:19.422251
997675542022819872,U1783F,capability,serv146,2024-07-09 09:26:26.425185
166463472166081267,U2186M,opportunity,opr020,2022-01-11 21:29:34.579486
26457823688143360,U2469D,tweet,871167280833195535,2023-12-12 12:37:09.005605
506249775850471923,P046D,event,EV328,2021-09-04 02:10:46.394093
83779312311227081,P1116N,event,EV494,2022-11-06 04:42:24.799905
60297687885255063,U602A,tweet,177837319490831978,2023-09-15 04:22:51.732888
396627756511192954,U116A,event,EV350,2024-08-05 17:52:12.434807
760972195359903273,U2403Z,news,N150,2023-06-07 14:44:56.189346
997760521213837593,U1075Y,capability,serv708,2022-05-16 04:45:59.464924
596990906706931660,U3402Q,tweet,643429117663375275,2024-04-05 20:07:37.374369
671675776697700231,P2265C,capability,serv602,2022-08-26 20:25:14.363816
432871748933001444,ORG3376,tweet,989381390871815438,2023-09-13 08:42:00.675241
68373670629725297,P3847Z,capability,serv676,2020-02-17 15:14:26.897756
214702906217727559,U019B,opportunity,opr030,2022-07-04 17:11:16.803805
610658592373566734,P3924H,capability,serv508,2022-03-28 14:56:11.083854
697770182542921149,ORG3033,capability,pro019,2024-04-16 11:26:00.028366
514318655288123791,ORG2915,opportunity,opr050,2023-12-16 16:00:14.048453
975135282296299824,U1103H,tweet,874137912655336693,2022-03-25 16:41:08.576072
698090242958478896,U1739P,event,EV484,2022-12-08 22:12:26.117630
670151412446818835,U1154D,tweet,822256435380032062,2020-10-31 13:48:59.018114
633618168725757001,ORG2179,event,EV325,2020-11-19 16:15:10.861521
872560972606855829,U1970L,event,EV338,2022-09-22 04:21:20.391574
12466811346795756,ORG1813,tweet,242670388654786674,2020-06-15 22:20:26.920482
441984134178352440,P1218V,opportunity,opr003,2023-05-21 15:25:41.005322
57669300864510763,P3545P,capability,serv256,2023-08-01 03:02:09.751457
266936068393037565,P3670L,news,N075,2023-09-26 01:59:25.747260
913316282912382874,U2944U,tweet,32177596002255270,2023-09-14 19:39:52.481310
83627227389440567,ORG1732,news,N117,2022-10-07 20:03:27.294724
1519178986642247,P945S,event,EV369,2022-05-04 20:50:35.968741
472751509203742371,U713N,opportunity,opr053,2024-06-04 04:15:20.898448
606824727467679654,P992C,capability,serv578,2022-08-11 04:06:00.077354
895206128634195995,P631L,opportunity,opr114,2020-05-09 07:07:49.803506
311323391071562164,P2051E,capability,serv236,2023-09-05 12:01:36.421462
660745107243508790,ORG1496,event,EV243,2023-12-11 21:25:20.010924
156465694484131263,U2524A,news,N083,2020-10-16 06:52:23.987722
572605538705156507,ORG1663,event,EV369,2022-03-05 12:27:01.415446
815226226462947316,U1482M,opportunity,opr044,2023-03-30 03:22:32.400691
730265764203837434,U176K,capability,pro521,2023-04-22 19:22:25.852947
773218262455748048,P557R,news,N279,2020-07-24 12:30:00.797690
227245122993417953,P925J,event,EV368,2022-05-26 08:32:27.147670
858692163846061766,ORG2761,tweet,175394700269813469,2022-12-18 09:44:52.670401
810843223903908484,ORG1750,tweet,47241345291853337,2020-07-21 11:47:44.094539
937778762093654079,P3931E,news,N473,2022-11-17 13:45:10.832012
129660528315865709,ORG1633,tweet,100371840908159607,2020-10-31 21:13:17.470834
216230021128943383,ORG607,capability,pro497,2020-03-27 01:38:18.749422
644906178099089269,U2700O,event,EV363,2023-02-19 03:54:39.598188
454219779587946214,U1218T,opportunity,opr085,2020-10-03 11:03:05.531566
283035233846286855,U1153A,news,N368,2020-02-12 14:30:19.940513
970191175751108965,P2966Y,news,N228,2021-09-18 20:12:56.317651
888735017634187173,U3491A,opportunity,opr062,2023-08-09 17:19:38.700541
420808137679781985,P3714H,news,N031,2022-08-09 00:21:00.146147
880936273524900417,ORG1548,event,EV128,2021-10-01 06:32:27.809924
671693831407287805,ORG1119,opportunity,opr064,2022-03-24 13:50:06.644688
16890007506874383,U980N,capability,serv396,2021-07-29 02:21:35.302115
688656861868885673,U2148Q,event,EV177,2021-07-08 11:32:59.191300
355442100907100437,P1544C,event,EV057,2022-07-21 22:21:05.430154
12357536933616797,ORG3934,capability,serv732,2023-02-14 04:45:03.217373
470299753428223126,ORG1989,news,N219,2023-04-24 22:09:35.041807
25622919218167848,P801A,capability,pro737,2023-02-04 07:17:28.368671
876901228575886338,U1261C,tweet,364614474372889170,2020-04-20 15:33:21.857564
739906329466972597,U2136I,news,N246,2022-12-31 17:10:06.973162
916107835455642928,ORG1775,tweet,70219112409740900,2021-11-21 20:31:11.733110
64426919074913117,P875G,opportunity,opr040,2024-03-06 16:16:07.574980
12292866584907338,P3935A,tweet,961895949710114065,2023-07-30 22:31:34.846111
989159210194640365,ORG1553,event,EV010,2020-08-14 02:51:00.385975
458905287807804308,ORG3075,event,EV348,2022-07-16 05:51:05.386125
470860981230962093,U3611S,capability,serv482,2020-07-07 20:49:38.095180
730288708063566410,ORG3040,tweet,392342812494659613,2020-01-08 16:07:49.184677
146641813746083397,U2489W,opportunity,opr078,2021-04-11 02:47:15.363538
992876009020377178,P705P,news,N288,2022-01-01 06:29:44.780109
750289399823848480,U107Q,opportunity,opr058,2020-06-09 05:45:41.706954
888090226080532379,P3414N,opportunity,opr070,2024-02-17 06:15:27.907964
328119577641755015,ORG1390,capability,serv038,2022-02-15 07:33:36.338695
414694896823247397,U2754D,news,N061,2022-01-01 22:15:14.892582
83566207623763201,ORG472,news,N384,2021-02-19 00:17:47.791939
294624967177558820,P2673G,tweet,128634034413255296,2021-03-26 06:31:37.750397
669042039896462044,ORG2458,tweet,341139911690802306,2020-11-04 15:44:17.082982
523423380213440145,ORG2169,tweet,157312344333797773,2020-09-26 00:01:11.112927
724526560599810290,U3328B,opportunity,opr063,2022-03-26 02:52:26.124166
249783048861080487,U3510N,tweet,419009825184705364,2021-06-09 10:04:34.490839
126929658920494305,P898K,tweet,117717539489128364,2021-10-18 06:08:17.711141
388700736343640180,U3620D,tweet,654162030169969163,2022-10-12 23:10:02.141511
968613115884020405,ORG074,tweet,52786893729290062,2021-08-25 22:21:02.090163
418136620487636014,U1952I,capability,serv474,2022-06-21 07:57:54.953727
117874487638074120,U2024J,opportunity,opr051,2021-03-12 20:15:27.243761
578283113815445053,P2063U,capability,serv236,2022-07-17 14:50:26.179357
760621713731009076,ORG3534,tweet,158996286188618604,2023-04-04 07:47:05.566276
426128743621270277,P2581L,opportunity,opr037,2024-07-07 09:49:40.561537
831731140559720816,P3597K,event,EV094,2022-12-20 06:36:23.397997
591322377433467028,ORG631,opportunity,opr103,2021-09-07 10:16:13.540966
492643253916386976,ORG741,tweet,615893112556655540,2022-04-01 22:58:58.142418
204986426768378764,ORG535,opportunity,opr002,2020-11-27 06:01:21.607933
