id,admin,name,email,bio,image,slug,addresses,locations,founded_date,website,phone_code,phone_number,linkedin,twitter,industry,cost_cutting_priorities,promotion_channels,business_goals,annual_revenue,competitors,awards,certifications,joining_reason,capabilities,opportunities,completion_status,created_at,updated_at
ORG001,3319,Calhoun-Mejia,guerrerojohn@wu-peterson.net,Mandatory tangible productivity,,whose-money-herself,"('39.91394150', '44.72000040')","Armenia, Ararat Province",2019-02-19,https://www.harrison.com/,374,5865700424901,http://www.smith.biz/,https://howell.net/,Hydroelectric Power Generation,"[""Optimize Equipment Purchase and Maintenance""]","[""Online Marketplaces"", ""Internal Newsletters"", ""Outbound Calls""]","[""Engage in Significant Community Development Projects"", ""Achieve Carbon Neutrality"", ""Reduce Debt-to-Equity Ratio"", ""Achieve Certifications and Accreditations""]",974729278.96,"[""TILT Holdings""]",[],"[""Medical Specialist"", ""ISO 14001 (Environmental Management)"", ""Compliance Officer""]",Enhanced clear-thinking attitude,"Serv360,Pro167,Pro141","OPR032,OPR024,OPR106,OPR001",Incomplete,2023-01-23 02:13:14.905997,2023-11-18 09:14:36.919061
ORG002,2421,Huerta-Garcia,gail27@lyons-valencia.com,Cloned methodical analyzer,,it-debate-one-form,"('8.84993070', '-61.14031960')","Venezuela, Delta Amacuro",1991-10-18,https://lopez-bell.biz/,58,5446763948789,http://www.martin.com/,https://bell.biz/,Renewable Energy,"[""Optimize Branding Partnerships"", ""Optimize Treasury Services"", ""Prioritize Key R&D Projects""]","[""Promotional Emails"", ""Videos""]","[""Foster Social Equity Initiatives"", ""Form Key Strategic Alliances"", ""Develop Comprehensive Compliance Training Programs"", ""Implement Lean Manufacturing Practices""]",842414492.73,"[""Acreage Holdings""]",[],[],Centralized hybrid approach,"Pro205,Pro197","OPR065,OPR019,OPR054,OPR009,OPR111",Incomplete,2020-04-17 18:55:51.072512,2022-12-31 17:51:34.779064
ORG003,833,Weeks-Mcdowell,kelly09@johnson.biz,Ameliorated dynamic model,,certain-those-eat,"('-20.05609830', '57.65523890')","Mauritius, Rivière du Rempart",2018-02-12,http://phillips.com/,230,8822329092931,http://cunningham.com/,https://moore-perry.info/,Travel and Hospitality,"[""Use Cost-Effective Packaging Materials"", ""Minimize Print Advertising""]","[""Amazon"", ""Video Ads"", ""Magazines""]","[""Foster Social Equity Initiatives""]",417377334.89,"[""OrganiGram Holdings"", ""Wayland Group"", ""Curaleaf Holdings"", ""iAnthus Capital Holdings""]","[""Outstanding Achievement in Analytics for Marketing""]",[],Reduced local portal,"Serv126,Pro139,Serv274,Serv080","OPR030,OPR035,OPR022,OPR047,OPR118",Incomplete,2023-10-06 07:31:00.316175,2024-02-04 23:05:28.562680
ORG004,3152,Wilson Inc,jonathansilva@williams.com,Diverse intangible framework,,congress-paper,"('43.52403280', '16.81783770')","Croatia, Split-Dalmatia",2002-05-08,http://johnson.com/,385,1822790819957,https://miller-little.biz/,https://www.washington-boyle.org/,Think Tanks,"[""Reevaluate Sponsorship Deals"", ""Use Cost-Effective Sustainable Packaging"", ""Reduce Sales Team Size""]","[""Live Demos"", ""LinkedIn"", ""Outdoor Advertising (Billboards, Posters)""]","[""Expand into Adjacent Market Segments"", ""Expand Product Lines""]",220526451.58,"[""KushCo Holdings"", ""CannTrust Holdings"", ""Acreage Holdings""]","[""Detailed Asset Analysis Achievement"", ""Excellence in Machine Learning Solutions"", ""Excellence in Data Analytics for Business""]","[""Policy Analyst"", ""Wellness Coach""]",Progressive exuding firmware,"Pro211,Serv156,Serv112,Pro207",OPR031,Complete,2020-08-31 03:10:30.082131,2023-11-12 02:18:33.932632
ORG005,3955,Martin-Castro,normapatterson@boyd.com,Versatile modular Graphical User Interface,,event-view-artist,"('-14.33333333', '-170.00000000')",American Samoa,2023-07-06,http://www.stevenson.info/,1-684,4921258507365,http://www.johnson-cook.com/,http://www.rose.com/,Warehousing,"[""Reduce Airfare Costs"", ""Consolidate Product Liability Insurance""]","[""Charity Partnerships"", ""Social Media Influencers"", ""Online Seminars""]","[""Expand into Adjacent Market Segments"", ""Double Revenue""]",204689182.52,"[""Vivo Cannabis""]",[],[],Monitored homogeneous capacity,"Pro365,Serv162,Serv320,Pro319","OPR021,OPR109,OPR104,OPR049",Incomplete,2021-08-21 23:48:09.550259,2023-06-24 19:33:30.714048
ORG006,3273,Nguyen LLC,jonesangela@spencer.com,Profound empowering project,,fall-lay-weight,"('8.59130730', '-63.95861110')","Venezuela, Anzoátegui",2018-10-25,http://www.fuller-murphy.com/,58,5861268894398,http://christensen-carter.com/,https://www.mccarthy.com/,Insurance - Life,"[""Reduce Mobile Device Costs"", ""Use Cost-Effective Research Materials and Supplies""]","[""Industry Expos"", ""SMS Marketing""]","[""Significantly Increase Community Engagement"", ""Invest Heavily in R&D"", ""Form Key Strategic Alliances"", ""Secure Speaking Engagements at Major Conferences""]",764727382.2,"[""Cannabix Technologies"", ""Indiva""]",[],[],User-friendly empowering initiative,"Pro299,Serv018,Serv146,Pro315,Serv032","OPR018,OPR014,OPR052,OPR045",Complete,2024-04-10 15:36:29.067458,2024-06-05 09:55:24.002932
ORG007,1489,Williams-Torres,ibeck@patel-smith.org,Enterprise-wide zero-defect open system,,product-perhaps,"('42.28673390', '72.52048270')","Kyrgyzstan, Talas Region",2008-06-29,https://www.gallegos.info/,996,6597339588019,http://moore.com/,https://www.simpson-kelly.org/,Accessible Hardware Manufacturing,"[""Reduce Utility Usage (Electricity, Water, Gas)""]","[""Direct Mail"", ""Charity Partnerships"", ""Panel Discussions""]","[""Implement Health and Wellness Programs"", ""Build Strong Community Partnerships""]",677758969.89,"[""TerrAscend""]","[""Demand Level Understanding"", ""Best Real-time Data Processing""]","[""Project Management Professional""]",Secured object-oriented initiative,Serv158,"OPR010,OPR097,OPR093,OPR048",Complete,2023-12-28 09:42:54.318322,2024-02-29 01:08:50.505702
ORG008,3578,Patel-Molina,jenniferwagner@goodwin.com,Vision-oriented bandwidth-monitored ability,,ball-billion,"('10.63342850', '43.32946600')","Somalia, Awdal Region",1986-09-10,https://ward-merritt.com/,252,0654415115473,https://www.barrera.net/,http://gilbert.com/,Military and International Affairs,"[""Negotiate Better Rates for Raw Materials"", ""Reduce Trade Show Booths""]","[""Workshops"", ""Referral Programs"", ""Facebook""]","[""Increase Digital Marketing ROI"", ""Adopt Advanced Digital Technologies"", ""Identify and Acquire Strategic Competitors""]",807526033.06,"[""Tilray"", ""Harvest One Cannabis"", ""Hexo Corp"", ""Cronos Group""]","[""Exceptional Data Science Achievements"", ""Best Asset Performance Analytics Recognition""]",[],Ergonomic foreground functionalities,Pro029,"OPR072,OPR035",Complete,2023-04-13 18:42:07.253031,2023-08-29 21:18:26.827621
ORG009,436,Haas-Delgado,cruzabigail@moore-bean.com,Pre-emptive human-resource approach,,their-people-red,"('32.10063870', '54.43421380')","Iran, Yazd",1973-06-26,https://holt.com/,98,9675096445524,http://harris-costa.com/,https://www.allen.com/,Paper,"[""Reassess Retirement Plans"", ""Outsource IT Support and Maintenance"", ""Reduce Billboards and Outdoor Advertising""]","[""eBay""]","[""Adopt Advanced Digital Technologies"", ""Attract Top Industry Talent"", ""Identify and Acquire Strategic Competitors""]",304608986.21,"[""Tweed"", ""Supreme Cannabis"", ""Harvest One Cannabis""]",[],"[""Farm Manager"", ""Certified Data Management Professional (CDMP)"", ""Social Media Manager""]",Future-proofed intermediate circuit,"Serv054,Pro215,Serv188,Serv118,Serv322","OPR037,OPR032,OPR028,OPR029",Incomplete,2023-06-19 22:03:50.199017,2023-12-13 23:32:22.696444
ORG010,2146,Stewart Group,ynelson@garcia.biz,Upgradable human-resource data-warehouse,,skill-suggest-deep,"('35.53837730', '129.31135960')","South Korea, Ulsan",1987-10-13,https://www.carter.com/,82,3590461347209,http://white.com/,http://www.brown-johnston.org/,Family Planning Centers,"[""Optimize Transportation and Logistics"", ""Use Cost-Effective Research Materials and Supplies"", ""Automate Bookkeeping""]","[""Brand Ambassadors""]","[""Develop Cutting-Edge Technologies"", ""Implement Lean Manufacturing Practices"", ""Become a Leading Brand in the Industry"", ""Lead Industry Forums and Discussions""]",346836761.3,"[""Vireo Health"", ""TILT Holdings"", ""MariMed"", ""CannAmerica Brands""]",[],"[""CISSP (Certified Information Systems Security Professional)"", ""CMA (Certified Management Accountant)"", ""LEED (Leadership in Energy and Environmental Design)""]",Re-contextualized 3rdgeneration knowledgebase,"Pro041,Pro083",OPR011,Incomplete,2021-07-31 01:12:23.535041,2023-12-22 10:29:43.384768
