id,admin,name,email,bio,image,slug,addresses,locations,founded_date,website,phone_code,phone_number,linkedin,twitter,industry,cost_cutting_priorities,promotion_channels,business_goals,annual_revenue,competitors,awards,certifications,joining_reason,capabilities,opportunities,completion_status,created_at,updated_at
org001,3319,calhoun-mejia,guerrerojohn@wu-peterson.net,mandatory tangible productivity,0.0,whose-money-herself,"('39.91394150', '44.72000040')","armenia, ararat province",2019-02-19,https://www.harrison.com/,374,5865700424901,http://www.smith.biz/,https://howell.net/,hydroelectric power generation,optimize equipment purchase and maintenance,"online marketplaces, internal newsletters, outbound calls","engage in significant community development projects, achieve carbon neutrality, reduce debt-to-equity ratio, achieve certifications and accreditations",974729278.96,tilt holdings,,"medical specialist, iso 14001 (environmental management), compliance officer",enhanced clear-thinking attitude,"serv360,pro167,pro141","opr032,opr024,opr106,opr001",incomplete,2023-01-23 02:13:14.905997,2023-11-18 09:14:36.919061
org002,2421,huerta-garcia,gail27@lyons-valencia.com,cloned methodical analyzer,0.0,it-debate-one-form,"('8.84993070', '-61.14031960')","venezuela, delta amacuro",1991-10-18,https://lopez-bell.biz/,58,5446763948789,http://www.martin.com/,https://bell.biz/,renewable energy,"optimize branding partnerships, optimize treasury services, prioritize key r&d projects","promotional emails, videos","foster social equity initiatives, form key strategic alliances, develop comprehensive compliance training programs, implement lean manufacturing practices",842414492.73,acreage holdings,,,centralized hybrid approach,"pro205,pro197","opr065,opr019,opr054,opr009,opr111",incomplete,2020-04-17 18:55:51.072512,2022-12-31 17:51:34.779064
org003,833,weeks-mcdowell,kelly09@johnson.biz,ameliorated dynamic model,0.0,certain-those-eat,"('-20.05609830', '57.65523890')","mauritius, rivière du rempart",2018-02-12,http://phillips.com/,230,8822329092931,http://cunningham.com/,https://moore-perry.info/,travel and hospitality,"use cost-effective packaging materials, minimize print advertising","amazon, video ads, magazines",foster social equity initiatives,417377334.89,"organigram holdings, wayland group, curaleaf holdings, ianthus capital holdings",outstanding achievement in analytics for marketing,,reduced local portal,"serv126,pro139,serv274,serv080","opr030,opr035,opr022,opr047,opr118",incomplete,2023-10-06 07:31:00.316175,2024-02-04 23:05:28.562680
org004,3152,wilson inc,jonathansilva@williams.com,diverse intangible framework,0.0,congress-paper,"('43.52403280', '16.81783770')","croatia, split-dalmatia",2002-05-08,http://johnson.com/,385,1822790819957,https://miller-little.biz/,https://www.washington-boyle.org/,think tanks,"reevaluate sponsorship deals, use cost-effective sustainable packaging, reduce sales team size","live demos, linkedin, outdoor advertising (billboards, posters)","expand into adjacent market segments, expand product lines",220526451.58,"kushco holdings, canntrust holdings, acreage holdings","detailed asset analysis achievement, excellence in machine learning solutions, excellence in data analytics for business","policy analyst, wellness coach",progressive exuding firmware,"pro211,serv156,serv112,pro207",opr031,complete,2020-08-31 03:10:30.082131,2023-11-12 02:18:33.932632
org005,3955,martin-castro,normapatterson@boyd.com,versatile modular graphical user interface,0.0,event-view-artist,"('-14.33333333', '-170.00000000')",american samoa,2023-07-06,http://www.stevenson.info/,1-684,4921258507365,http://www.johnson-cook.com/,http://www.rose.com/,warehousing,"reduce airfare costs, consolidate product liability insurance","charity partnerships, social media influencers, online seminars","expand into adjacent market segments, double revenue",204689182.52,vivo cannabis,,,monitored homogeneous capacity,"pro365,serv162,serv320,pro319","opr021,opr109,opr104,opr049",incomplete,2021-08-21 23:48:09.550259,2023-06-24 19:33:30.714048
org006,3273,nguyen llc,jonesangela@spencer.com,profound empowering project,0.0,fall-lay-weight,"('8.59130730', '-63.95861110')","venezuela, anzoátegui",2018-10-25,http://www.fuller-murphy.com/,58,5861268894398,http://christensen-carter.com/,https://www.mccarthy.com/,insurance - life,"reduce mobile device costs, use cost-effective research materials and supplies","industry expos, sms marketing","significantly increase community engagement, invest heavily in r&d, form key strategic alliances, secure speaking engagements at major conferences",764727382.2,"cannabix technologies, indiva",,,user-friendly empowering initiative,"pro299,serv018,serv146,pro315,serv032","opr018,opr014,opr052,opr045",complete,2024-04-10 15:36:29.067458,2024-06-05 09:55:24.002932
org007,1489,williams-torres,ibeck@patel-smith.org,enterprise-wide zero-defect open system,0.0,product-perhaps,"('42.28673390', '72.52048270')","kyrgyzstan, talas region",2008-06-29,https://www.gallegos.info/,996,6597339588019,http://moore.com/,https://www.simpson-kelly.org/,accessible hardware manufacturing,"reduce utility usage (electricity, water, gas)","direct mail, charity partnerships, panel discussions","implement health and wellness programs, build strong community partnerships",677758969.89,terrascend,"demand level understanding, best real-time data processing",project management professional,secured object-oriented initiative,serv158,"opr010,opr097,opr093,opr048",complete,2023-12-28 09:42:54.318322,2024-02-29 01:08:50.505702
org008,3578,patel-molina,jenniferwagner@goodwin.com,vision-oriented bandwidth-monitored ability,0.0,ball-billion,"('10.63342850', '43.32946600')","somalia, awdal region",1986-09-10,https://ward-merritt.com/,252,654415115473,https://www.barrera.net/,http://gilbert.com/,military and international affairs,"negotiate better rates for raw materials, reduce trade show booths","workshops, referral programs, facebook","increase digital marketing roi, adopt advanced digital technologies, identify and acquire strategic competitors",807526033.06,"tilray, harvest one cannabis, hexo corp, cronos group","exceptional data science achievements, best asset performance analytics recognition",,ergonomic foreground functionalities,pro029,"opr072,opr035",complete,2023-04-13 18:42:07.253031,2023-08-29 21:18:26.827621
org009,436,haas-delgado,cruzabigail@moore-bean.com,pre-emptive human-resource approach,0.0,their-people-red,"('32.10063870', '54.43421380')","iran, yazd",1973-06-26,https://holt.com/,98,9675096445524,http://harris-costa.com/,https://www.allen.com/,paper,"reassess retirement plans, outsource it support and maintenance, reduce billboards and outdoor advertising",ebay,"adopt advanced digital technologies, attract top industry talent, identify and acquire strategic competitors",304608986.21,"tweed, supreme cannabis, harvest one cannabis",,"farm manager, certified data management professional (cdmp), social media manager",future-proofed intermediate circuit,"serv054,pro215,serv188,serv118,serv322","opr037,opr032,opr028,opr029",incomplete,2023-06-19 22:03:50.199017,2023-12-13 23:32:22.696444
org010,2146,stewart group,ynelson@garcia.biz,upgradable human-resource data-warehouse,0.0,skill-suggest-deep,"('35.53837730', '129.31135960')","south korea, ulsan",1987-10-13,https://www.carter.com/,82,3590461347209,http://white.com/,http://www.brown-johnston.org/,family planning centers,"optimize transportation and logistics, use cost-effective research materials and supplies, automate bookkeeping",brand ambassadors,"develop cutting-edge technologies, implement lean manufacturing practices, become a leading brand in the industry, lead industry forums and discussions",346836761.3,"vireo health, tilt holdings, marimed, cannamerica brands",,"cissp (certified information systems security professional), cma (certified management accountant), leed (leadership in energy and environmental design)",re-contextualized 3rdgeneration knowledgebase,"pro041,pro083",opr011,incomplete,2021-07-31 01:12:23.535041,2023-12-22 10:29:43.384768
