id,user,asset_type,asset_id,created_at,rate
737272271745499491,U1174V,tweet,502316593965955814,2021-03-06 20:17:46.766759,3
461812463226749106,U593J,tweet,207592899634243366,2024-05-26 10:54:55.326889,1
141248084103378240,ORG838,event,EV393,2021-09-30 08:41:59.520450,4
585085906248020681,P2722L,opportunity,opr106,2023-01-20 01:57:48.745255,2
905400034087880034,U1620S,opportunity,opr064,2021-07-13 17:33:24.984067,5
138212647891774777,U1476J,capability,pro137,2022-10-16 18:36:45.339749,1
846817821507181189,U475A,event,EV395,2023-04-05 07:17:52.162315,1
313288030975282513,U383I,capability,pro111,2020-02-07 06:46:28.413173,5
521077586168265545,U1917I,opportunity,opr068,2020-10-29 10:13:57.324349,1
376396756597732998,U3061G,opportunity,opr101,2021-07-15 17:26:54.839631,3
561842015365632467,U3443J,opportunity,opr019,2024-08-06 12:56:11.646425,5
518417553046896057,P1859J,capability,pro663,2020-04-27 02:23:08.524346,3
235873615799245315,P3972W,news,N194,2021-01-18 01:28:54.770232,2
408728780543649592,ORG990,tweet,134559315859836627,2022-10-13 23:00:38.508291,1
553230581774807951,U951I,news,N462,2024-06-29 12:39:33.394548,5
974842134494713663,P3225F,event,EV203,2020-10-09 19:26:52.105196,4
44286333074730594,P1564F,capability,serv162,2021-03-21 07:54:52.745435,3
56582753162521024,U692S,tweet,988388344081949883,2021-01-12 15:06:38.130533,3
817565819105605191,P2871A,tweet,310698254655146628,2022-10-23 18:51:24.318998,3
642492773020077315,U1699F,tweet,292227015963271958,2022-12-05 08:01:29.620884,1
282352063850183242,P1302A,news,N192,2023-05-05 07:35:45.020507,3
348820284738963395,U2936Q,event,EV347,2023-09-06 06:54:25.978918,1
993498959016454317,U2682N,event,EV418,2022-02-25 12:53:16.184159,3
151448509984824128,P1236E,news,N230,2022-04-23 22:27:39.525613,1
355515106371331135,P2951X,capability,pro483,2024-04-18 17:06:38.359768,2
581763423604981059,U3819T,opportunity,opr042,2023-01-12 02:51:08.811680,4
580457882468991125,P1156V,capability,pro625,2020-09-29 23:57:00.811646,5
107151255517334220,U1672U,tweet,376395074072923327,2022-03-04 21:35:05.761185,5
365548925234541570,U3135K,tweet,316129533276444519,2023-02-08 06:02:14.908298,4
659551983314214647,ORG351,capability,pro673,2023-02-22 07:13:38.868167,1
844314930758775008,ORG1561,opportunity,opr012,2021-01-26 13:47:04.430715,4
440543605233261582,U3876Z,capability,pro077,2023-07-04 03:12:14.109968,3
863607430737200278,U1936O,capability,serv338,2022-09-03 01:23:48.366189,1
499570699332198173,U2662B,tweet,943842898218340766,2020-09-30 17:53:31.847247,4
136576378844319720,P3141S,tweet,433583830955219518,2022-06-12 19:18:04.600272,1
632288713549562673,ORG2499,tweet,412508669170204456,2023-05-04 13:22:44.181617,5
893591260226139495,P2847J,capability,serv156,2023-06-20 05:05:48.871199,5
309571755976914562,U318W,news,N212,2024-02-04 12:51:55.482440,1
58886190139998122,U1847Y,news,N118,2022-09-01 03:39:36.466896,5
343188431939744434,U1881I,capability,pro091,2024-02-04 20:27:42.295188,4
634467654368245343,ORG2080,tweet,195176166495331480,2024-02-12 02:13:22.770737,4
195201617597174786,P990P,event,EV431,2023-07-05 20:15:23.229664,1
247900553141612085,P2478Q,event,EV454,2024-05-04 20:54:57.284386,4
977335622214886804,P3746M,tweet,962982551930564179,2023-10-17 21:13:18.896483,4
102436684378017160,P370I,opportunity,opr071,2024-02-03 20:41:56.582349,5
502883160527836284,U3440R,opportunity,opr052,2021-05-30 21:28:34.237473,1
453000098269961808,P2471L,opportunity,opr012,2022-08-17 17:29:17.032198,4
169236176259020349,U1657F,tweet,657051332361936169,2023-03-02 11:23:23.470167,2
678612913448497938,P2037F,opportunity,opr006,2020-08-10 13:44:02.842257,2
719718137855059301,P455K,opportunity,opr065,2020-08-23 00:17:16.266790,3
22719875580194798,P926X,opportunity,opr064,2020-12-25 05:38:16.739644,5
768349226272800836,P634S,tweet,543878803559951350,2022-02-25 01:36:41.321877,4
7246464462506321,U2444G,event,EV469,2022-06-15 04:34:58.448735,5
435960994496127656,U494D,tweet,771851135259305134,2022-10-01 09:52:32.053158,2
238770635924873984,P546A,event,EV488,2020-11-29 03:06:38.266142,1
491048782017168154,P3584O,tweet,652922507112501022,2021-01-18 09:25:27.961063,1
746032936232256759,P1172C,tweet,323906399634427308,2020-10-29 04:12:42.974662,1
147398312687241092,P1488V,event,EV212,2023-03-16 00:34:24.156477,4
285627748671267695,P678N,news,N297,2023-02-05 12:29:05.390322,5
265684253349500894,U1058Z,capability,pro349,2023-02-11 12:02:45.901236,2
539923577451047692,ORG2901,capability,serv420,2021-11-04 22:37:55.648540,5
378216103192136429,U3315O,news,N128,2020-11-15 08:07:09.071701,5
615861358585569534,P2517J,tweet,33986054307299248,2021-09-28 01:44:52.361780,5
151580621222015733,P1904P,event,EV121,2022-05-10 06:30:52.896364,3
521635567075430809,ORG2002,tweet,221665810257695868,2024-06-13 02:00:14.446197,2
114235895715756032,P201I,opportunity,opr071,2021-11-05 00:00:40.535308,1
682550211696584171,ORG1086,news,N122,2021-04-29 20:43:51.750582,4
780786764628332825,P2994Z,news,N217,2021-09-11 21:11:25.845348,5
363932914465275092,P3921J,capability,serv376,2022-06-17 12:20:42.558550,2
490872557157764308,P3765W,capability,pro655,2020-07-17 08:10:56.062801,3
869683830975576795,P2940S,news,N087,2023-10-13 11:02:52.906385,2
930103312472714290,P1398H,news,N355,2020-08-21 06:38:44.752446,1
325731690461187245,U089Y,capability,serv636,2021-07-25 13:21:40.508291,2
400330045512209921,P1558O,capability,pro335,2020-06-05 16:28:05.768908,2
973064620351152439,P306Y,news,N418,2022-01-01 03:14:34.863182,3
912155284464424949,P666P,opportunity,opr024,2022-02-15 05:12:27.447549,5
445491749006984163,P3560Q,opportunity,opr057,2023-10-04 12:22:49.724146,2
43361747805413231,U151G,opportunity,opr015,2021-02-15 10:06:38.408102,2
499547759640918364,P2037F,opportunity,opr074,2024-02-07 09:32:35.624247,4
544503477648216300,U1467Y,tweet,918380667171242261,2022-05-06 21:49:27.573453,3
487691807495158393,P3102H,tweet,317320292422131683,2020-01-07 17:10:14.091981,4
890178784892600165,P1093Y,event,EV154,2023-06-24 09:46:49.265543,4
494713850338246600,U909H,event,EV285,2022-10-15 22:34:26.394090,1
85897229679269270,ORG2509,event,EV066,2020-12-28 13:57:42.058793,1
691227135992805897,U3444X,event,EV183,2021-04-17 05:55:27.117291,4
640513282895395173,P2430W,news,N017,2023-01-07 18:39:36.315197,1
406941409795964856,P1932D,event,EV055,2021-04-19 12:01:06.416796,1
582082788545296311,P3825H,opportunity,opr104,2020-12-01 11:52:29.342953,4
541900763902501384,U1781V,event,EV314,2022-06-25 05:17:00.675941,2
694903206082883650,U256R,event,EV216,2021-04-24 10:25:59.490281,4
596495206943722802,P2633B,opportunity,opr039,2021-06-30 13:46:14.704413,2
719142081853133775,P2884M,tweet,278773645144523964,2023-05-29 17:20:22.279526,1
174133415717763610,P3436Y,capability,pro301,2024-02-08 22:21:14.835595,3
158970636969856047,P1592G,tweet,714440617097033792,2023-01-26 21:26:14.602626,3
558434783828088108,P3407D,event,EV460,2024-08-06 22:44:52.379626,4
784617354289517335,P3572Y,event,EV288,2020-12-29 01:27:04.267696,1
550559024673626246,U1958U,tweet,540437699366438746,2024-01-13 04:16:19.692326,1
519344422272309685,P3214D,event,EV236,2023-07-23 06:47:59.098487,5
615304928006130903,U138F,event,EV038,2024-03-13 08:02:16.395867,4
316640993682520241,ORG2601,tweet,243837410659839804,2023-10-18 12:11:55.790936,4
650963813574133747,U148V,event,EV035,2022-12-26 20:14:02.452547,3
591120373235357174,P2692F,news,N112,2024-03-06 20:20:54.179192,2
645093771246876537,P2732I,news,N061,2021-10-01 03:48:14.205480,2
126170711664089891,U3040F,capability,serv280,2024-02-25 03:39:22.286659,4
233466985271378207,ORG3108,capability,pro385,2022-02-27 08:27:38.194600,2
127689867591262536,U2693Y,tweet,389948718851995511,2022-07-04 12:38:32.440080,3
540352115799428771,U3690G,opportunity,opr032,2020-05-17 16:32:45.455210,3
762932111314588982,U692S,tweet,324239378541528090,2023-01-11 20:08:13.120872,3
939016808529312408,P1544C,event,EV341,2024-04-29 12:37:00.545930,1
801654071055551151,ORG2811,tweet,337214652764405498,2023-12-26 10:15:01.138121,5
805673285174495259,U2034O,event,EV027,2024-05-28 23:20:29.267423,2
539349043629727908,P155E,capability,pro547,2022-10-04 03:31:36.257095,5
256751514822616243,U3644H,news,N300,2021-10-23 21:16:03.516956,1
373996693585569252,P514B,capability,serv344,2021-07-04 00:51:22.728839,1
819246944633605825,U1704R,capability,serv032,2024-06-21 23:16:30.173809,1
187587452923682328,U3577G,opportunity,opr008,2023-12-24 16:27:04.793205,5
285219223435520870,U3244Y,tweet,384653896618752010,2021-06-27 16:31:26.518744,2
461416402637580846,U468Z,tweet,506603809151938464,2022-10-15 20:33:32.520241,3
133582674918526014,ORG1364,opportunity,opr010,2023-10-06 21:29:25.288168,2
953694149463285493,P698M,capability,serv140,2024-07-23 07:43:57.440358,4
54340249779909213,P2415Q,event,EV469,2023-03-24 05:56:03.400476,3
768039404005601300,P443H,news,N481,2022-10-14 23:26:37.272153,4
730506485795845075,ORG039,event,EV084,2021-10-16 23:06:25.649273,2
484493054747139528,U1527A,opportunity,opr087,2022-08-10 21:37:41.058277,3
393688771410251192,P2211B,event,EV465,2020-11-15 01:27:43.982152,4
675243287671211244,U3015D,capability,pro003,2021-04-21 00:21:07.878495,4
616469092188358011,U2938K,capability,serv198,2022-06-16 06:11:54.491655,4
959256261956464253,U1451A,news,N139,2023-06-26 16:26:47.822825,5
192635845324859736,U1714I,news,N402,2022-11-05 02:43:30.998201,5
860484653484067387,ORG3059,capability,serv268,2021-11-16 06:35:27.755435,3
820735989550449865,U1200Q,opportunity,opr024,2023-07-16 00:45:18.882606,4
613707579352731097,ORG3746,capability,serv126,2022-03-21 02:07:11.472846,3
520293867236582689,U2848K,opportunity,opr034,2020-03-25 18:51:09.883044,1
560035257765849796,U1525U,capability,serv368,2021-04-04 00:42:14.884967,5
999462901099863658,P2222N,event,EV314,2020-05-08 08:47:08.078197,4
766813169852301629,U3756S,opportunity,opr031,2024-06-14 12:42:22.870772,2
362437661367596987,U3994I,capability,pro189,2020-12-11 03:38:04.944142,1
820930683850093407,P2645N,opportunity,opr037,2022-04-25 14:32:57.023493,5
393723750437918466,ORG3415,news,N251,2021-01-22 15:35:06.286491,1
297830909436808423,U954T,event,EV070,2023-07-08 12:37:23.006716,3
377863833832581486,P229D,event,EV363,2024-04-28 18:47:41.870327,5
252714949352986737,P1834L,opportunity,opr072,2023-09-09 16:32:10.083808,5
17459114553373672,P944A,event,EV287,2021-04-24 06:29:19.856926,2
225982350779664294,U965C,news,N116,2020-08-21 08:34:50.850640,2
812738520403571298,U2734N,opportunity,opr076,2023-02-17 19:57:11.066563,5
473527558679348452,U2970F,event,EV042,2021-11-06 09:53:44.006744,1
61114639290064936,U441R,tweet,927088718040736604,2020-12-31 12:57:55.235559,3
658427799161097020,P2571V,event,EV472,2021-02-24 20:07:50.700595,2
656379396602351556,P2686R,tweet,175836329737135399,2024-05-04 16:34:57.554323,3
145564198294360720,U681P,tweet,7595931453841879,2021-08-08 17:03:18.828868,2
920804972986365306,U1702M,news,N062,2020-03-21 20:56:49.125054,3
665328713776865580,P1733T,news,N193,2021-06-28 22:34:54.539700,2
601913954538196528,P2464Z,event,EV454,2024-02-05 10:53:29.172869,4
567485251495456479,P1546J,event,EV070,2020-05-29 08:50:02.840481,1
167884083586508512,P3468H,capability,pro561,2023-11-24 01:08:43.466055,5
412793228497927012,P2842N,opportunity,opr005,2023-06-22 18:55:11.048727,4
605094174125113389,P2751K,opportunity,opr027,2024-01-21 03:47:02.731637,5
355311973637392167,U1384T,tweet,854134715996516823,2022-04-07 18:20:23.045213,3
12924163121451853,P971F,news,N403,2023-10-02 19:47:07.233298,5
800724879429689154,ORG1878,news,N360,2020-06-23 13:59:25.994363,3
913987043024678886,U2445L,opportunity,opr075,2022-11-07 22:20:42.163838,2
378942811516754405,P3514M,news,N318,2022-09-27 07:14:23.970711,2
232322900864611863,P3784L,event,EV186,2020-10-01 12:49:18.788510,1
330861980268116217,ORG2021,event,EV066,2023-10-22 03:39:36.166495,2
261760223195324872,P1057K,opportunity,opr120,2023-08-27 15:36:34.867435,5
946130832536377907,P2409P,news,N086,2023-11-11 16:39:44.879505,3
714258933827322261,ORG1260,tweet,785291632265670427,2020-10-26 23:46:51.016256,4
767576750959112025,ORG1302,opportunity,opr075,2020-01-18 18:49:25.915619,2
914341305074567266,U1500W,tweet,653089223324966094,2024-04-09 20:00:05.519139,2
955013456601318878,U2620X,tweet,452198779473494505,2024-06-29 23:07:31.416199,3
609539572296831355,P668E,tweet,668151659283961461,2023-01-04 05:02:52.762645,3
623323616618254207,P3525F,tweet,339888269058615732,2021-08-14 02:14:49.655428,1
374278216214458271,P2735C,capability,serv052,2022-11-28 11:17:27.084022,4
988803389882129673,U2296A,news,N262,2024-04-14 05:02:17.114775,4
606627942789877215,U953B,capability,pro667,2020-09-15 03:26:59.421274,2
2345388844978421,U3769D,capability,pro463,2021-05-07 16:42:46.041909,5
638928069657231134,ORG540,event,EV087,2023-03-18 14:58:38.389583,3
32782514911745465,P2855Z,opportunity,opr103,2020-12-23 05:23:56.106444,2
982340381778230979,P673S,news,N255,2021-10-26 02:40:00.010022,4
965541441293666635,U1956W,event,EV116,2020-12-23 18:02:27.171578,4
731156032878789821,U1639A,news,N443,2022-08-07 19:12:51.748821,5
340926381236955050,P747O,tweet,708842128346917568,2021-12-26 05:03:07.006678,1
353675792822358477,P2755O,tweet,876221030049054639,2020-10-06 02:05:33.512160,1
886359045294093888,P2671W,tweet,715446676449777871,2024-02-26 01:42:31.949504,4
792312731946709322,P3606Y,tweet,217943145786187461,2024-04-19 02:13:16.274847,2
703461699732690947,U738D,capability,serv040,2023-08-18 09:22:20.874696,3
764405784883768959,P1691X,news,N005,2023-02-05 03:16:40.869620,5
292084499097141340,P2784V,news,N228,2022-05-10 11:09:43.622063,1
706397882360355282,U3767M,tweet,699631401989756623,2022-05-22 20:39:39.737394,2
160924900001942087,ORG172,event,EV367,2023-12-08 22:00:12.158417,2
617367182126386076,ORG2835,tweet,248135452035353957,2021-11-12 01:42:15.490268,4
835638441638398704,P3205H,event,EV311,2021-11-29 03:42:20.313767,1
864862013369859180,ORG907,tweet,741653730361069435,2023-04-08 13:22:44.150973,5
597727393042188991,P947J,opportunity,opr054,2022-04-19 00:45:31.021382,3
256700276928986376,P766K,opportunity,opr029,2022-01-30 04:44:32.483831,1
542869262793313522,U1178S,news,N183,2022-07-21 04:36:50.854148,3
472256002486432192,U3550T,capability,pro465,2020-09-23 21:29:50.566634,4
685949944581371739,P832F,news,N026,2021-07-05 02:56:04.950033,5
671772619248049410,ORG3744,opportunity,opr016,2021-04-03 18:01:25.829685,5
920791076150409150,P269F,tweet,837058963848895433,2020-01-09 21:51:55.275873,3
911874524804546881,P3255C,news,N437,2022-03-23 11:41:59.426609,3
211618051002689185,U563U,event,EV014,2022-09-27 08:58:12.493808,2
534002713995621374,P3683X,tweet,20412359817152284,2023-10-29 10:33:03.736237,2
459214717188644789,P3536E,event,EV384,2023-08-15 14:37:18.223579,2
514837623913782395,U1128S,opportunity,opr071,2022-07-24 14:50:16.049155,3
644569008827649644,ORG1199,news,N158,2022-02-28 23:20:29.139081,4
425892944125277513,U1626B,event,EV388,2023-06-03 10:36:28.181414,2
805767732318844809,ORG1877,capability,pro233,2024-02-28 00:51:44.148348,2
940790423824327797,U183I,tweet,942957598504124003,2022-06-05 19:54:12.979319,4
615954716125001033,ORG890,news,N265,2022-06-15 22:33:56.568019,5
922842757707177079,P2820K,capability,pro295,2021-10-23 12:42:22.323028,4
618622743983190753,P152A,opportunity,opr032,2020-01-24 20:06:12.432820,2
784677755692038040,U1304C,capability,pro259,2021-09-16 08:52:03.045593,2
