id,user,asset_type,asset_id,created_at
962486235989943288,P3382P,event,EV331,2022-08-14 09:14:19.227190
266618752856972650,U2813M,tweet,901303980164310137,2021-05-21 23:19:49.282302
200804954317771254,P1575X,opportunity,opr096,2022-02-20 16:20:16.327855
686229513129845552,ORG670,capability,serv730,2023-07-11 06:06:19.277519
775860503038887604,ORG398,event,EV055,2024-07-27 21:58:37.927299
980449765380572956,ORG1444,capability,serv696,2024-03-26 13:23:36.677877
150069417493524947,ORG2487,capability,serv128,2023-03-01 20:42:02.953067
327287570034964321,ORG2075,event,EV478,2020-03-25 04:31:50.203275
839891002307324483,P2092B,capability,serv080,2021-12-05 21:18:38.288181
91306327433832413,U2910Y,news,N200,2022-02-13 09:17:17.197159
450208564820438839,P426A,event,EV406,2023-03-09 23:46:15.267500
842480621194596847,P774F,opportunity,opr081,2024-06-22 05:30:47.840484
11554859787525430,P312N,capability,pro547,2022-05-05 23:07:28.020920
548053213423703649,ORG2679,tweet,757539492049260978,2022-08-03 22:17:40.459347
724013481518535737,P1502U,event,EV382,2022-01-17 16:24:59.093235
420218994869877736,P2506G,event,EV056,2022-10-21 11:33:57.723353
576993156115928921,U1551M,capability,serv132,2024-07-24 07:18:34.637970
323605556985717339,U2052D,tweet,591839598115568180,2023-08-27 06:30:29.480894
768554294558863981,U3925R,opportunity,opr062,2021-10-13 05:17:12.116832
683685117873003935,P2883V,opportunity,opr104,2022-09-12 00:11:37.878277
85880715034741183,ORG343,tweet,931478872803950035,2021-11-28 19:07:01.364131
116059749852913986,P1479Q,event,EV421,2024-04-08 07:27:13.680274
83742018714013745,P644M,news,N022,2022-09-29 20:02:28.314852
474426273016009944,ORG1412,news,N397,2020-06-29 14:18:05.323597
397897802575896662,P3436Y,opportunity,opr015,2022-09-29 22:38:14.842187
785146302627798355,ORG3327,capability,serv068,2024-02-02 10:25:36.705162
539647686721587825,U2524A,event,EV150,2020-06-14 20:48:35.395438
910718955816497086,P907H,event,EV379,2023-04-08 01:15:03.958988
852278464436683324,ORG1927,capability,serv358,2022-03-25 19:10:16.589689
210396149596634067,ORG289,tweet,997798555450475235,2020-04-30 10:57:58.218837
927104335401324815,P3332Z,capability,serv500,2020-10-26 08:51:28.068854
979912548264863505,P1124Q,event,EV395,2023-03-02 18:44:58.023857
321961099482424980,U058S,news,N246,2021-08-24 23:57:58.289034
230841924755404206,P3379R,tweet,725149737783623648,2023-09-10 04:28:39.846688
410855754256840890,ORG1839,opportunity,opr097,2020-10-30 17:34:15.062009
135282645178544961,P203S,news,N361,2021-06-02 12:08:01.819474
505828530294837834,P3705K,opportunity,opr007,2020-10-22 23:37:06.587749
999358948808462295,P163V,tweet,927982660916037645,2021-12-29 22:50:43.371891
595538429935977946,ORG1090,event,EV309,2022-10-09 14:32:18.807675
144289292978117165,P3221S,tweet,947946911236659349,2022-11-16 16:04:56.523651
574417496506145493,ORG3461,tweet,743304304070327029,2022-04-11 22:03:43.565488
267253815154010331,ORG2273,tweet,728525587070246639,2022-02-26 09:21:07.977679
732522388077180322,P2586J,news,N280,2021-06-12 12:32:37.673023
66108845203535075,ORG546,opportunity,opr010,2021-02-19 03:38:14.984508
521117827117177344,U3266N,capability,serv642,2022-12-27 09:57:57.129987
448774497233927088,P1494Q,opportunity,opr037,2020-02-15 23:53:15.886524
412724375938181226,P2227E,capability,serv730,2022-05-16 01:25:30.306690
885606351850032407,U515B,news,N065,2021-05-02 23:27:15.183112
260845522510532050,P3449W,capability,pro307,2024-04-19 08:36:52.002050
399243207668184956,ORG986,capability,serv330,2022-07-28 00:47:07.523148
590711748219412489,U2771T,tweet,45551761167698996,2020-06-26 22:46:55.194846
799978741906817348,U2073W,tweet,784431615935784519,2022-06-26 21:10:42.821184
239498014473058971,U1303Z,event,EV185,2021-07-25 19:03:43.525972
323791089417442220,ORG3987,news,N177,2023-08-23 18:04:46.669177
548589312165215509,P737B,event,EV385,2023-02-13 15:31:31.411880
