id,user,asset_type,asset_id,created_at
274399599086625128,ORG2552,tweet,406406897659983350,2022-05-10 18:17:31.158768
283138191446074447,U410J,news,N087,2023-11-16 02:05:09.308417
495693666428075281,U2627R,capability,pro057,2022-08-20 19:10:18.836767
285825625404140770,P427R,tweet,60740455127369436,2020-11-15 05:24:42.886635
821141935272099109,U2260P,news,N451,2022-06-02 12:30:45.038335
179193635462161857,P441M,capability,pro193,2022-09-19 06:09:04.149333
650362993252343817,ORG580,capability,serv286,2021-08-13 09:14:54.728684
965883360340419651,P3502W,capability,serv082,2021-05-03 19:59:20.320871
920147126153698549,U760K,capability,pro103,2022-06-10 03:45:25.280702
25977853723524865,U1573X,capability,serv118,2024-06-16 15:04:29.949596
642375113217935306,U171G,tweet,317818528908423608,2020-12-24 02:00:03.215048
402972227536023003,ORG3580,opportunity,opr118,2023-12-18 16:23:17.676224
846235172592354302,U2913U,news,N280,2024-07-30 14:38:06.355729
393211351004077676,P1113J,event,EV096,2022-07-06 18:17:07.311814
992711605431199873,P1715O,news,N148,2020-11-10 00:39:45.413417
25881813464413760,U2180X,tweet,208883801707846033,2020-05-15 15:23:25.324557
821260932774674752,U3726B,tweet,381574070887026562,2020-02-19 06:23:01.557988
980247835797702813,U593J,opportunity,opr082,2020-08-15 02:40:11.118358
666011005633610721,P3992Q,news,N480,2021-12-16 19:31:00.681085
615986972921197660,P768A,tweet,51435550828045898,2022-03-18 20:48:13.997138
896518520118341543,U441R,capability,serv474,2023-08-11 07:13:22.183532
73304092595156123,ORG3438,news,N282,2020-11-02 03:51:47.838962
474416817584225067,P3948K,tweet,512797580212729190,2022-03-04 04:39:22.795271
398832006372748840,ORG1335,capability,pro673,2023-07-13 03:41:10.880085
456314947935862717,P1889X,tweet,298150338934760508,2023-05-16 17:09:42.419703
737385936514506960,P3213X,event,EV201,2023-07-03 18:43:56.967406
100023182478695925,P2588S,tweet,220987278861035605,2021-05-01 19:33:34.745572
347231666111819738,P2491S,capability,pro065,2023-10-07 04:39:31.249112
507565035016989163,P3216S,event,EV394,2021-08-22 13:49:09.799791
832201486977399578,U2333C,news,N205,2023-01-23 14:20:41.541553
712103019521862934,U1654C,opportunity,opr053,2022-08-27 05:39:30.545590
970529266449419574,U3720A,capability,serv742,2020-07-28 01:59:39.020750
969283648713504466,P1047R,opportunity,opr089,2022-04-05 17:35:51.600605
634719783478205243,U2065X,opportunity,opr007,2022-04-04 07:35:18.302232
81978396524016315,ORG629,capability,pro703,2020-10-12 21:30:30.409528
403695049403560257,P2196I,capability,pro043,2022-02-13 15:24:32.832260
833215547986285193,P2478Q,tweet,652045562764446110,2024-06-24 07:18:38.274558
657399749838995727,U2821K,capability,pro491,2020-07-16 09:35:07.794448
874795407939570584,P636B,opportunity,opr095,2021-07-08 22:48:04.549063
78721955374344777,P2225B,event,EV104,2024-06-11 00:11:04.571361
34123524588651475,P1784U,opportunity,opr065,2023-04-23 09:05:20.390289
314962699260165663,U3189Y,tweet,412677306825466687,2023-11-11 08:18:57.763202
496898929790451191,U1362I,tweet,912045315640867434,2022-03-28 02:14:07.549342
323901557937196819,ORG462,opportunity,opr014,2023-04-01 12:03:50.856832
968603244740105998,P3593F,news,N464,2022-01-26 19:23:49.445215
37309556484722290,P2879P,news,N441,2024-02-13 03:27:47.722620
353056172277322216,P1041I,opportunity,opr090,2022-07-26 12:18:22.291539
341195567884375384,P3135C,event,EV081,2022-01-27 10:15:52.325379
531126899254397073,U825B,capability,pro651,2022-07-07 05:14:20.432775
234708752137805671,U3899N,capability,serv742,2023-03-30 17:48:03.773301
105758976854322880,U3009O,event,EV483,2020-09-02 09:17:13.813172
917644280052276437,U623K,opportunity,opr005,2023-01-30 09:40:16.015852
310001548990750773,P3032O,tweet,3180658427062506,2021-09-12 03:40:14.893574
747140416827604674,P1768M,opportunity,opr105,2021-04-11 02:22:30.132308
124013794950486389,P1697Z,opportunity,opr100,2021-03-28 06:26:36.043518
314161234508922070,P225D,tweet,523580658148735681,2020-11-12 07:19:08.957927
184435311580387862,U1659Q,news,N263,2024-05-23 02:27:21.175763
460923395670817117,ORG2410,news,N389,2023-12-19 10:19:27.868298
935588159275810140,P2069Z,event,EV115,2022-12-18 04:29:00.764185
739739222515414390,P3202O,opportunity,opr027,2023-12-06 08:47:43.781696
283738511022294447,ORG3484,opportunity,opr007,2022-08-13 08:03:07.686116
183223650800611791,ORG837,event,EV412,2023-06-19 22:19:43.450663
862133667367947609,U3927J,opportunity,opr032,2021-05-31 06:17:13.100340
979054535805841366,ORG1594,capability,serv048,2021-06-11 22:49:37.445221
900773865559889161,U3214G,opportunity,opr019,2024-08-01 21:03:17.647024
181393206371517005,U384W,news,N218,2021-10-03 11:29:39.477922
944442228324927715,U1173S,tweet,125279990704543290,2023-07-07 16:26:56.455325
436301624613283952,ORG1944,tweet,858545525948193839,2023-06-27 02:23:29.474094
223482988906848418,P2516D,capability,serv494,2020-12-21 19:59:29.765608
896849480281049539,U2391B,event,EV445,2020-09-01 19:15:08.158244
327179326572470616,U301T,capability,pro261,2022-08-17 08:08:20.047726
366501067192318511,U1791V,opportunity,opr032,2022-02-06 23:19:05.888897
726996796134505955,P1246G,event,EV122,2024-03-19 07:48:24.514000
175346839683325557,P3742P,event,EV346,2023-08-21 11:32:59.689783
589066926907653158,U3602L,opportunity,opr057,2020-06-19 09:07:49.816704
648624905614963050,U2676M,opportunity,opr036,2020-12-16 13:49:51.329988
