id,slug,user,content,published_date,location,hashtags,mentions,urls,images_urls,videos_urls,num_of_likes,num_of_retweets,num_of_replies,num_of_quotes,score,type,parent_tweet_id,topics,categories,created_at
T1,finally-right-green,U1,"Manager including because box. Little learn speak. Economy ago book fast avoid kid with.
Sit network tax require memory prepare. Race into brother side high control day nothing. Figure fund leg also glass like section.",2023-10-14 08:25:05.106850,,['#Tech'],[],['http://example.net'],[],[],3473,1099,570,454,5596,quoted,T8965364489,"['data analysis', 'quantum computing', 'technology']",interview,2022-01-04 22:16:38.433801
T2,memory-personal,U2,"Share industry later finish evening surface husband physical. Talk long hundred PM wear. Push decide hold south type money up.
Let blood point coach make. Energy need also enjoy want.
Religious oil series among town. Serious modern manager region.",2019-12-12 11:40:20.097561,,"['#Coding', '#MachineLearning']","['@user3', '@user5', '@user4']",[],[],"['http://example.com/video1.mp4', 'http://example.com/video3.mp4', 'http://example.com/video2.mp4']",3286,942,1906,226,6360,retweeted,T7560824999,[],event,2019-12-24 20:46:46.341059
T3,fact-there-record,U2,"Require whole onto detail citizen process end. Total small must almost public guy stuff. Model through group score. Real form white expert strategy win.
Exactly land station end dream difference war. Million inside mean technology pressure authority couple run.",2022-01-03 01:49:01.097590,,['#MachineLearning'],['@user1'],"['http://example.com', 'http://example.net', 'http://example.org']",['http://example.com/image1.jpg'],[],5237,2515,938,7,8697,quoted,T3084819457,[],opinion,2023-06-13 20:01:57.933153
T4,serious-low-take,U3,"Worry key room city somebody among. Who director play institution ability type else.
Mention good both participant.
Land cultural back social owner. General floor student white woman.
Away need traditional hotel which form. Air rather know series service east under.",2023-03-10 05:37:02.068994,2738169861.0,[],['@user3'],[],['http://example.com/image2.jpg'],[],2333,2080,953,23,5389,replied_to,T8427890986,"['cybersecurity', 'blockchain']",tutorial,2022-01-12 03:54:54.748394
T5,attorney-else-dog,U3,"Attack imagine hit those such. Drop series open ball great off specific. Door third where candidate.
Show environment high tough nation voice speech pretty. Spring read weight product.
Box off such conference job loss detail. Half project share both.",2023-03-06 03:02:44.171842,,[],[],"['http://example.net', 'http://example.com', 'http://example.org']","['http://example.com/image3.jpg', 'http://example.com/image2.jpg', 'http://example.com/image1.jpg']","['http://example.com/video1.mp4', 'http://example.com/video2.mp4']",5302,4365,1888,69,11624,replied_to,T4972901043,"['science', 'cybersecurity', 'quantum computing']",announcement,2021-02-21 12:29:54.096905
T6,to-situation-hotel,U3,Last establish consider able knowledge. Detail control responsibility gun mind. Result point what toward begin message agent.,2022-10-12 01:58:23.468930,,"['#DataScience', '#AI', '#Python']",[],[],['http://example.com/image1.jpg'],[],2025,632,1954,768,5379,retweeted,T3848122057,"['blockchain', 'artificial intelligence']",updates,2024-05-03 12:12:16.548243
T7,lose-up-crime-wear,U3,"Each price home home. Economy possible pretty performance yet coach rather.
Arm tend benefit throw buy toward. Consider whole give heart next.
Manager participant nearly drug. Likely seem consumer hold among save operation.",2024-02-29 05:15:46.249075,,"['#Coding', '#AI', '#MachineLearning']","['@user3', '@user2', '@user4']",['http://example.net'],"['http://example.com/image1.jpg', 'http://example.com/image2.jpg']","['http://example.com/video1.mp4', 'http://example.com/video3.mp4']",5625,2326,561,385,8897,retweeted,T1631698850,"['technology', 'quantum computing']",news,2022-06-22 17:52:43.860139
T8,follow-without-bill,U3,"Reveal every more year Congress attention sign. Either customer four degree exist agree popular.
Material case type wrong. Four good others. Pick city sea party.",2021-09-27 02:59:41.378063,,[],"['@user5', '@user1', '@user2']","['http://example.net', 'http://example.org', 'http://example.com']",[],[],6820,195,99,665,7779,original,,[],news,2024-03-31 23:50:06.414800
T9,energy-toward,U4,"Bring simply daughter drop suddenly unit. Key administration card decision table trouble. Sell walk strong environmental too back.
Simply become weight child value affect. Stuff behavior government. Resource trouble technology day knowledge scene affect.",2024-06-06 03:01:58.646317,9948128240.0,"['#AI', '#Coding', '#Tech']",['@user4'],['http://example.com'],"['http://example.com/image2.jpg', 'http://example.com/image1.jpg']",[],4407,2224,1544,157,8332,replied_to,T1147949699,"['cybersecurity', 'science']",tutorial,2022-03-20 05:17:31.061619
T10,exist-fish-success,U4,"Create we worry child spring. Culture family very individual strategy hospital. Station crime pattern score. Heavy do with my.
Respond American friend phone.",2019-12-12 01:31:40.556250,,"['#AI', '#Python', '#DataScience']",['@user5'],"['http://example.net', 'http://example.com']","['http://example.com/image3.jpg', 'http://example.com/image1.jpg']",['http://example.com/video3.mp4'],1460,974,764,810,4008,quoted,T5101224255,"['cybersecurity', 'robotics', 'technology']",interview,2021-05-05 00:59:18.321074
T11,financial-decide,U4,"Decision strategy speak article true. Age memory over machine organization.
Around property member everyone want attack ask. Fast resource laugh floor city necessary. Into water after sport maintain late.
Knowledge discuss with system woman. Choose game until time.",2022-02-15 11:18:05.055016,,[],['@user3'],['http://example.net'],['http://example.com/image2.jpg'],['http://example.com/video2.mp4'],9466,874,1590,24,11954,replied_to,T8716169693,[],research,2020-01-18 04:32:01.194520
